overall,vote,reviewTime,reviewText,summary
2,0,10-02-2010,Tech support is the worst,1265760000
2,0,24-10-2016,"Screws were missing from the bracket and beauty dish within a week.
Spend a little more and get much better.",Spend a little more and get much better.
1,0,10-07-2017,Trouble connecting and staying connected via bluetooth,1499644800
4,5,02-05-2013,"I purchased this unit for our RV to replace an older AM/FM/Cassette Tape unit.  I was looking for the CD and Bluetooth capability as well as higher quality sound and this unit certainly delivers all of that.  I found the system for setting up the unit took some getting used to.  I believe this process would be simpler if Alpine had provided 1 or 2 more buttons so there was less button multi-tasking.  It took several attempts to finally get a device recognized and connected on bluetooth.  So far, the receiver has linked to my iPad but refuses to link to my iPod Touch or my cell phone.  It also took several attempts to update the receiver firmware but that was finally achieved.  The update has not solved the bluetooth device linking problem.  I plan to contact Alpine tech support to see if they can resolve this issue.  Overall, this is part of a new product line for Alpine and it feels like I'm an early adopter working on the bleeding edge of a new product design.",Receiver Offers a Lot of Flexibility & Complexity
3,0,04-01-2013,"It works.  Nuff said but the review requires 16 more words, now 9 more words.  It's blue and has a hood at each end.",It's a cable
1,2,26-10-2015,"I bought this and a viper alarm for my civic and took it to the shop to get it installed. They installed the alarm no issues.. the tilt sensor on the other hand was defective and didn't work no matter what they did. I ended up having to buy one from the shop, the one they hooked up works great. Overall just disappointed with my purchase.",No good/ Defective
4,6,21-12-2008,"I rescue cats, and I have one that will have to stay with me forever because he's a sprayer. So periodically I have to scrub down doors and walls that he has peed on, and this does a good job of removing the odor, although it has a very strong antiseptic smell of its own that is not quite pleasant, but at least it's not pee, and it fades after awhile, unlike pee. One little bottle lasts me a long time since you mix a small amount with the water.","A Different Kind of Strong Odor, But it Masks the Pee"
1,0,08-07-2009,"I purchased 6 of these in 2007; all were ~DOA.
All ports recognized USB devices, but each card had exactly one port that would read an entire thumb drive without it disappearing. I tried several brands of flash drives; none would work on other ports for long.",6 of 6 cards had only 1 good port
3,0,16-06-2017,Nice cover because something is better than nothing. It does not have durable of use but I still like it. I love the way it folds back as a stand for your iPad. My cover have been cracked for a long time and I don't use it as much as most people use their iPad. It's not a protective cover. Price was excellent. It is 2 years old now.,Nice cover!
2,0,05-09-2017,Less than happy,1504569600
2,3,08-10-2010,"While I had no problem with the sound quality, I was only able to enjoy these headphones for a short bit.

The headphones were too tight from the start and quickly made my ears hurts.  It's even worse if you wear glasses as it causes your earpieces to dig into your skin from the pressure.

After a few short weeks of use the one of the tabs that hold the actually ear pieces in place broke.  These tabs that hold the ear pieces from moving are very small and it's amazing they even last more than a few days.",headphone tabs break easily
1,0,10-02-2016,This Blu Ray player is defective. It won't play Blu rays from universal studios or other companies like Sony. The WIFI connection is pretty much non-existent. I tried everything humanly possible in order to get the wireless connection on this Player to no avail. All of the wifi compatible electronic devices in my apartment connect easily except this Player. I will be purchasing a Samsung BD J7500 and will stay away from panasonic once and for all !!!,"Blu ray Player is defective, even with firmware upgrade !!!!!"
5,0,05-03-2018,Works great.  Using it on an older monitor.,Works great
2,0,05-04-2013,Product was faulty,1365120000
2,2,29-07-2009,"Works, but not secure in the FW800 port",1248825600
4,0,02-07-2014,"Great video, insufficient sound.",1404259200
4,0,30-04-2010,NOT FOR THE NEW BAMBOO FUN SMALL,1272585600
3,3,29-07-2016,"The video quality is relatively low. Looking back now I wish I would've not get this and safe the money to get a DJI drone. This video camera is not useful. It cannot replace the video quality of an iPhone. It's bulky so it's hard to put in your purse. Exporting the video is a pain, the manual book is as thick as a bible. Idk what people find so great about this camcorder.

I guess you can already tell that I use this mostly for traveling. However, I also use it to create videos and movies and this still doesn't beat most of cameras and camcorders out there. I have a Sony NEX-5TL Mirrorless Digital Camera (or something a little bit below that) and it records better videos than this camcorder. The touchscreen is a pain in my bottom, It's like we're back in 2008.

There are better and cheaper video camera out there, or just get a smartphone all together.

The only positive thing I can say is that it looks cool and professional. When I'm using it people will look at me and become self-aware like i'm a videographer goddess. Lol, anyways. Decisions decisions","Very basic, hard to use, bulky"
4,6,22-10-2009,Copying VHS to DVD works great,1256169600
2,0,01-01-2014,Poor quality. Doesn't work long.,1388534400
5,0,20-10-2014,"Very nice monitor! Great vibrant color and clarity A very usable 16:10 aspect that works much better for applications than the common 16:9 that is great for movies, but not much else.

Update June 20 2018
Years later and this is still a great monitor. I""m getting a second one to upgrade my old Viewsonic.",Excellent monitor! Very usable 16:10 aspect.
1,0,24-02-2008,I'll never buy another Samsung DVD product again.  Completely stopped working after a year and a half.  Costs as much to repair as to get a new product (not a Samsung).  Hope someone who works for Samsung reads these (yeah right).,Never again!
2,2,29-01-2008,"Good, but has issues",1201564800
5,0,26-09-2015,Better than the stock fan for AMD FX 6300.  Temps are high until you tighten it down right!,1443225600
1,3,03-04-2011,terrible and no where near the quality of Bose,1301788800
4,0,12-11-2014,"nice, fashionable",1415750400
2,0,03-09-2009,Fail On Dell Vostro 1700,1251936000
3,0,21-01-2014,The first one was heating up my Galaxy Note 3. The second one worked. Hoping it works for a while.,First one was defective
5,0,25-07-2015,Bought several of them through the years and does what its supposed to.  I really like the length and the price of these things.,I really like the length and the price of these things
