id,season,match_no,date,player_name,O,M,R,W,ECON,WD,NB
0,2011/12,Final,Feb 29 2012,Mashrafe Mortaza,2,0,17,0,8.50,0,0
0,2011/12,Final,Feb 29 2012,Azhar Mahmood,2,0,25,0,12.50,0,1
32,2011/12,1st,Feb 10 2012,Yasir Arafat,4,0,33,2,8.25,2,0
29,2011/12,4th,Feb 11 2012,Syed Rasel,3,0,33,0,11.00,2,0
28,2011/12,5th,Feb 12 2012,Dwayne Bravo,4,0,34,1,8.50,3,1
27,2011/12,6th,Feb 12 2012,Mashrafe Mortaza,4,0,22,2,5.50,0,0
26,2011/12,7th,Feb 13 2012,Shafiul Islam,3,0,7,2,2.33,0,0
30,2011/12,3rd,Feb 11 2012,Mashrafe Mortaza,3,0,27,0,9.00,0,0
0,2011/12,Final,Feb 29 2012,Shahid Afridi,4,0,23,3,5.75,0,0
31,2011/12,2nd,Feb 10 2012,Mohammad Sami,4,0,28,1,7.00,0,0
32,2011/12,1st,Feb 10 2012,Shane Harwood,4,0,20,1,5.00,0,0
29,2011/12,4th,Feb 11 2012,Mohammad Sami,4,0,32,0,8.00,0,0
28,2011/12,5th,Feb 12 2012,Arafat Sunny,3,0,17,0,5.66,0,0
27,2011/12,6th,Feb 12 2012,Azhar Mahmood,2.5,0,25,1,8.82,2,0
26,2011/12,7th,Feb 13 2012,Shakib Al Hasan,4,1,19,2,4.75,0,0
30,2011/12,3rd,Feb 11 2012,Azhar Mahmood,4,0,20,2,5.00,0,0
0,2011/12,Final,Feb 29 2012,Saeed Ajmal,4,0,23,1,5.75,1,0
31,2011/12,2nd,Feb 10 2012,Sean Ervine,4,0,39,1,9.75,1,0
32,2011/12,1st,Feb 10 2012,Chris Gayle,4,0,27,0,6.75,2,0
25,2011/12,8th,Feb 13 2012,Mashrafe Mortaza,4,0,31,0,7.75,1,0
29,2011/12,4th,Feb 11 2012,Marlon Samuels,4,1,22,1,5.50,1,0
28,2011/12,5th,Feb 12 2012,Muthiah Muralidaran,4,0,32,0,8.00,1,0
27,2011/12,6th,Feb 12 2012,Naved-ul-Hasan,4,0,24,0,6.00,2,2
26,2011/12,7th,Feb 13 2012,Nasir Hossain,3,0,23,0,7.66,0,0
30,2011/12,3rd,Feb 11 2012,Mosharraf Hossain,4,0,27,1,6.75,0,0
0,2011/12,Final,Feb 29 2012,Elias Sunny,4,0,27,0,6.75,0,0
31,2011/12,2nd,Feb 10 2012,Syed Rasel,2,0,29,0,14.50,1,0
32,2011/12,1st,Feb 10 2012,Nazmul Islam,4,0,36,0,9.00,1,0
25,2011/12,8th,Feb 13 2012,Azhar Mahmood,4,0,44,0,11.00,2,0
29,2011/12,4th,Feb 11 2012,Abdul Razzaq,4,0,27,1,6.75,1,0
24,2011/12,9th,Feb 14 2012,Nabil Samad,4,0,20,0,5.00,1,0
28,2011/12,5th,Feb 12 2012,Enamul Haque jnr,2,0,24,0,12.00,0,0
23,2011/12,10th,Feb 14 2012,Yasir Arafat,4,1,30,2,7.50,2,0
21,2011/12,12th,Feb 15 2012,Mohammad Sami,4,0,28,1,7.00,1,0
18,2011/12,15th,Feb 18 2012,Shuvagata Hom,1,0,8,0,8.00,0,0
27,2011/12,6th,Feb 12 2012,Mosharraf Hossain,3,0,17,0,5.66,0,0
22,2011/12,11th,Feb 15 2012,Dwayne Bravo,4,0,22,1,5.50,0,0
20,2011/12,13th,Feb 16 2012,Dwayne Bravo,4,0,42,1,10.50,1,0
19,2011/12,14th,Feb 16 2012,Naved-ul-Hasan,4,0,38,0,9.50,2,1
26,2011/12,7th,Feb 13 2012,Abdur Razzak,3,0,16,0,5.33,2,0
30,2011/12,3rd,Feb 11 2012,Naved-ul-Hasan,4,0,45,1,11.25,1,1
0,2011/12,Final,Feb 29 2012,Naved-ul-Hasan,4,0,24,2,6.00,0,0
31,2011/12,2nd,Feb 10 2012,Marlon Samuels,4,0,42,1,10.50,1,0
32,2011/12,1st,Feb 10 2012,Sohrawordi Shuvo,2,0,23,1,11.50,0,0
25,2011/12,8th,Feb 13 2012,Naved-ul-Hasan,4,0,35,1,8.75,1,0
29,2011/12,4th,Feb 11 2012,Saqlain Sajib,2,0,24,0,12.00,1,0
24,2011/12,9th,Feb 14 2012,Sohail Tanvir,4,0,31,2,7.75,1,0
10,2012/13,Final,Feb 19 2013,Taskin Ahmed,4,0,28,2,7.00,3,0
28,2011/12,5th,Feb 12 2012,Kevon Cooper,4,0,42,0,10.50,0,1
23,2011/12,10th,Feb 14 2012,Kabir Ali,4,0,31,2,7.75,1,0
21,2011/12,12th,Feb 15 2012,Muktar Ali,4,0,27,0,6.75,1,0
18,2011/12,15th,Feb 18 2012,Sohail Tanvir,4,1,25,2,6.25,0,0
27,2011/12,6th,Feb 12 2012,Kieron Pollard,3,0,24,1,8.00,1,0
22,2011/12,11th,Feb 15 2012,Farhad Reza,4,0,28,2,7.00,0,0
20,2011/12,13th,Feb 16 2012,Farhad Reza,4,0,23,0,5.75,0,0
19,2011/12,14th,Feb 16 2012,Nazmul Hossain,3,0,21,2,7.00,1,0
26,2011/12,7th,Feb 13 2012,Sanath Jayasuriya,2,0,17,2,8.50,1,0
