id,season,match_no,date,team_1,team_1_score,team_2,team_2_score,player_of_match,toss_winner,toss_decision,winner,venue,city,win_by_wickets,win_by_runs,result,umpire_1,umpire_2
0,2011/12,Final,Feb 29 2012,Barisal Burners,140/7,Dhaka Gladiators,144/2,Imran Nazir,Dhaka Gladiators,field first,Dhaka,"Shere Bangla National Stadium, Mirpur",Mirpur,8,0,8 wickets,David Orchard,Enamul Haque
30,2011/12,3rd,Feb 11 2012,Khulna Royal Bengals,175/5,Dhaka Gladiators,156/7,Andre Russell,Khulna Royal Bengals,bat first,Khulna,"Shere Bangla National Stadium, Mirpur",Mirpur,0,19,19 runs,Jeremy Lloyds,Sharfuddoula
26,2011/12,7th,Feb 13 2012,Barisal Burners,125,Khulna Royal Bengals,131/3,Dwayne Smith,Khulna Royal Bengals,field first,Khulna,"Shere Bangla National Stadium, Mirpur",Mirpur,7,0,7 wickets,Enamul Haque,Jeremy Lloyds
29,2011/12,4th,Feb 11 2012,Barisal Burners,180/2,Duronto Rajshahi,158/9,Ahmed Shehzad,Barisal Burners,bat first,Barisal,"Shere Bangla National Stadium, Mirpur",Mirpur,0,22,22 runs,David Orchard,Gazi Sohel
28,2011/12,5th,Feb 12 2012,Khulna Royal Bengals,171/3,Chittagong Kings,174/4,Nasir Jamshed,Khulna Royal Bengals,bat first,Chittagong,"Shere Bangla National Stadium, Mirpur",Mirpur,6,0,6 wickets,David Orchard,Enamul Haque
31,2011/12,2nd,Feb 10 2012,Chittagong Kings,206/4,Duronto Rajshahi,153,Dwayne Bravo,Chittagong Kings,bat first,Chittagong,"Shere Bangla National Stadium, Mirpur",Mirpur,0,53,53 runs,Jeremy Lloyds,Sharfuddoula
32,2011/12,1st,Feb 10 2012,Sylhet Royals,165/4,Barisal Burners,167/0,Chris Gayle,Barisal Burners,field first,Barisal,"Shere Bangla National Stadium, Mirpur",Mirpur,10,0,10 wickets,Anisur Rahman,David Orchard
27,2011/12,6th,Feb 12 2012,Sylhet Royals,124,Dhaka Gladiators,126/3,Anamul Haque,Sylhet Royals,bat first,Dhaka,"Shere Bangla National Stadium, Mirpur",Mirpur,7,0,7 wickets,Jeremy Lloyds,Sharfuddoula
25,2011/12,8th,Feb 13 2012,Chittagong Kings,153/6,Dhaka Gladiators,156/4,Kieron Pollard,Chittagong Kings,bat first,Dhaka,"Shere Bangla National Stadium, Mirpur",Mirpur,6,0,6 wickets,David Orchard,Sharfuddoula
23,2011/12,10th,Feb 14 2012,Dhaka Gladiators,208/5,Barisal Burners,187/5,Azhar Mahmood,Barisal Burners,field first,Dhaka,"Shere Bangla National Stadium, Mirpur",Mirpur,0,21,21 runs,Jeremy Lloyds,Sharfuddoula
