datetime,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,casual,registered,count
01-01-2011 00:00,1,0,0,1,9.84,14.395,81,0,3,13,16
01-01-2011 01:00,1,0,0,1,9.02,13.635,80,0,8,32,40
01-01-2011 02:00,1,0,0,1,9.02,13.635,80,0,5,27,32
01-01-2011 03:00,1,0,0,1,9.84,14.395,75,0,3,10,13
01-01-2011 04:00,1,0,0,1,9.84,14.395,75,0,0,1,1
01-01-2011 05:00,1,0,0,2,9.84,12.88,75,6.0032,0,1,1
01-01-2011 06:00,1,0,0,1,9.02,13.635,80,0,2,0,2
01-01-2011 07:00,1,0,0,1,8.2,12.88,86,0,1,2,3
01-01-2011 08:00,1,0,0,1,9.84,14.395,75,0,1,7,8
01-01-2011 09:00,1,0,0,1,13.12,17.425,76,0,8,6,14
01-01-2011 10:00,1,0,0,1,15.58,19.695,76,16.9979,12,24,36
01-01-2011 11:00,1,0,0,1,14.76,16.665,81,19.0012,26,30,56
01-01-2011 12:00,1,0,0,1,17.22,21.21,77,19.0012,29,55,84
01-01-2011 13:00,1,0,0,2,18.86,22.725,72,19.9995,47,47,94
01-01-2011 14:00,1,0,0,2,18.86,22.725,72,19.0012,35,71,106
01-01-2011 15:00,1,0,0,2,18.04,21.97,77,19.9995,40,70,110
01-01-2011 16:00,1,0,0,2,17.22,21.21,82,19.9995,41,52,93
01-01-2011 17:00,1,0,0,2,18.04,21.97,82,19.0012,15,52,67
01-01-2011 18:00,1,0,0,3,17.22,21.21,88,16.9979,9,26,35
01-01-2011 19:00,1,0,0,3,17.22,21.21,88,16.9979,6,31,37
01-01-2011 20:00,1,0,0,2,16.4,20.455,87,16.9979,11,25,36
01-01-2011 21:00,1,0,0,2,16.4,20.455,87,12.998,3,31,34
01-01-2011 22:00,1,0,0,2,16.4,20.455,94,15.0013,11,17,28
01-01-2011 23:00,1,0,0,2,18.86,22.725,88,19.9995,15,24,39
02-01-2011 00:00,1,0,0,2,18.86,22.725,88,19.9995,4,13,17
02-01-2011 01:00,1,0,0,2,18.04,21.97,94,16.9979,1,16,17
02-01-2011 02:00,1,0,0,2,17.22,21.21,100,19.0012,1,8,9
