S. No.,Message_body,Label
1,Rofl. Its true to its name,Non-Spam
2,The guy did some bitching but I acted like i'd be interested in buying something else next week and he gave it to us for free,Non-Spam
3,"Pity, * was in mood for that. So...any other suggestions?",Non-Spam
4,Will ü b going to esplanade fr home?,Non-Spam
5,"This is the 2nd time we have tried 2 contact u. U have won the £750 Pound prize. 2 claim is easy, call 087187272008 NOW1! Only 10p per minute. BT-national-rate.",Spam
6,"REMINDER FROM O2: To get 2.50 pounds free call credit and details of great offers pls reply 2 this text with your valid name, house no and postcode",Spam
7,Huh y lei...,Non-Spam
8,Why don't you wait 'til at least wednesday to see if you get your .,Non-Spam
9,Ard 6 like dat lor.,Non-Spam
10,Ok lor... Sony ericsson salesman... I ask shuhui then she say quite gd 2 use so i considering...,Non-Spam
11,Get me out of this dump heap. My mom decided to come to lowes. BORING.,Non-Spam
12,Anything lor. Juz both of us lor.,Non-Spam
13,if you aren't here in the next  &lt;#&gt;  hours imma flip my shit,Non-Spam
14,"Sorry, I'll call later",Non-Spam
15,No. I meant the calculation is the same. That  &lt;#&gt; units at  &lt;#&gt; . This school is really expensive. Have you started practicing your accent. Because its important. And have you decided if you are doing 4years of dental school or if you'll just do the nmde exam.,Non-Spam
16,Yes i have. So that's why u texted. Pshew...missing you so much,Non-Spam
17,Yeh. Indians was nice. Tho it did kane me off a bit he he. We shud go out 4 a drink sometime soon. Mite hav 2 go 2 da works 4 a laugh soon. Love Pete x x,Non-Spam
18,Well keep in mind I've only got enough gas for one more round trip barring a sudden influx of cash,Non-Spam
19,Hahaha..use your brain dear,Non-Spam
20,Have a safe trip to Nigeria. Wish you happiness and very soon company to share moments with,Non-Spam
21,Wen did you get so spiritual and deep. That's great,Non-Spam
22,"Cool, what time you think you can get here?",Non-Spam
23,"You know, wot people wear. T shirts, jumpers, hat, belt, is all we know. We r at Cribbs",Non-Spam
24,"No, I was trying it all weekend ;V",Non-Spam
25,Ic. There are a lotta childporn cars then.,Non-Spam
26,Hi its in durban are you still on this number,Non-Spam
27,"I'm taking derek &amp; taylor to walmart, if I'm not back by the time you're done just leave the mouse on my desk and I'll text you when priscilla's ready",Non-Spam
28,U still havent got urself a jacket ah?,Non-Spam
29,Armand says get your ass over to epsilon,Non-Spam
30,Yeah it's jus rite...,Non-Spam
31,ASKED 3MOBILE IF 0870 CHATLINES INCLU IN FREE MINS. INDIA CUST SERVs SED YES. L8ER GOT MEGA BILL. 3 DONT GIV A SHIT. BAILIFF DUE IN DAYS. I O £250 3 WANT £800,Spam
32,Just sleeping..and surfing,Non-Spam
33,I can't believe how attached I am to seeing you every day. I know you will do the best you can to get to me babe. I will go to teach my class at your midnight,Non-Spam
34,Want explicit SEX in 30 secs? Ring 02073162414 now! Costs 20p/min Gsex POBOX 2667 WC1N 3XX,Spam
35,Aiyah ok wat as long as got improve can already wat...,Non-Spam
36,"I know you are thinkin malaria. But relax, children cant handle malaria. She would have been worse and its gastroenteritis. If she takes enough to replace her loss her temp will reduce. And if you give her malaria meds now she will just vomit. Its a self limiting illness she has which means in a few days it will completely stop",Non-Spam
37,Ok which your another number,Non-Spam
38,"Hey chief, can you give me a bell when you get this. Need to talk to you about this royal visit on the 1st june. ",Non-Spam
39,happened here while you were adventuring,Non-Spam
40,Compliments to you. Was away from the system. How your side.,Non-Spam
41,I think that tantrum's finished so yeah I'll be by at some point,Non-Spam
42,What about this one then.,Non-Spam
43,Its just the effect of irritation. Just ignore it,Non-Spam
44,"Total disappointment, when I texted you was the craziest shit got :(",Non-Spam
45,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S.I.M. points. Call 08718738001 Identifier Code: 49557 Expires 26/11/04,Spam
46,I want to tell you how bad I feel that basically the only times I text you lately are when I need drugs,Non-Spam
47,You are awarded a SiPix Digital Camera! call 09061221061 from landline. Delivery within 28days. T Cs Box177. M221BP. 2yr warranty. 150ppm. 16 . p p£3.99,Spam
48,Going to join tomorrow.,Non-Spam
49,Thats cool. I want to please you...,Non-Spam
50,You are a big chic. Common. Declare,Non-Spam
51,No. I dont want to hear anything,Non-Spam
52,Can you pls send me that company name. In saibaba colany,Non-Spam
53,"By the way, i've put a skip right outside the front of the house so you can see which house it is. Just pull up before it.",Non-Spam
54,Miles and smiles r made frm same letters but do u know d difference..? smile on ur face keeps me happy even though I am miles away from u.. :-)keep smiling.. Good nyt,Non-Spam
55,"Ya, i'm referin to mei's ex wat... No ah, waitin 4 u to treat, somebody shld b rich liao...So gd, den u dun have to work frm tmr onwards...",Non-Spam
56,You are a great role model. You are giving so much and i really wish each day for a miracle but God as a reason for everything and i must say i wish i knew why but i dont. I've looked up to you since i was young and i still do. Have a great day.,Non-Spam
57,Oh... Okie lor...We go on sat... ,Non-Spam
58,Yes. Please leave at  &lt;#&gt; . So that at  &lt;#&gt;  we can leave,Non-Spam
59,"Just making dinner, you ?",Non-Spam
60,"It‘s reassuring, in this crazy world.",Non-Spam
61,I went to project centre,Non-Spam
62,Lol they were mad at first but then they woke up and gave in.,Non-Spam
63,"Machan you go to gym tomorrow,  i wil come late goodnight.",Non-Spam
64,I want to be inside you every night...,Non-Spam
65,God's love has no limit. God's grace has no measure. God's power has no boundaries. May u have God's endless blessings always in ur life...!! Gud ni8,Non-Spam
66,What i told before i tell. Stupid hear after i wont tell anything to you. You dad called to my brother and spoken. Not with me.,Non-Spam
67,Wait . I will msg after  &lt;#&gt;  min.,Non-Spam
68,"Perhaps * is much easy give your account identification, so i will tomorrow at UNI",Non-Spam
69,Apo all other are mokka players only,Non-Spam
70,PRIVATE! Your 2003 Account Statement for 07808247860 shows 800 un-redeemed S. I. M. points. Call 08719899229 Identifier Code: 40411 Expires 06/11/04,Spam
71,Love has one law; Make happy the person you love. In the same way friendship has one law; Never make ur friend feel alone until you are alive.... Gud night,Non-Spam
72,Now get step 2 outta the way. Congrats again.,Non-Spam
73,Why did I wake up on my own &gt;:(,Non-Spam
74,"SMS SERVICES. for your inclusive text credits, pls goto www.comuk.net login= 3qxj9 unsubscribe with STOP, no extra charge. help 08702840625.COMUK. 220-CM2 9AE",Spam
75,Yes... I trust u to buy new stuff ASAP so I can try it out,Non-Spam
76,"Good afternoon, my love ... How goes your day ? How did you sleep ? I hope your well, my boytoy ... I think of you ...",Non-Spam
77,"Cool, we shall go and see, have to go to tip anyway. Are you at home, got something to drop in later? So lets go to town tonight! Maybe mum can take us in.",Non-Spam
78,I think if he rule tamilnadu..then its very tough for our people.,Non-Spam
79,Marvel Mobile Play the official Ultimate Spider-man game (£4.50) on ur mobile right now. Text SPIDER to 83338 for the game & we ll send u a FREE 8Ball wallpaper,Spam
80,U studying in sch or going home? Anyway i'll b going 2 sch later.,Non-Spam
81,K. I will sent it again,Non-Spam
82,Oh thanks a lot..i already bought 2 eggs ..,Non-Spam
83,K. I will sent it again,Non-Spam
