distance,consume,speed,temp_inside,temp_outside,specials,gas_type,AC,rain,sun,refill liters,refill gas
28,5,26,"21,5",12,,E10,0,0,0,45,E10
12,"4,2",30,"21,5",13,,E10,0,0,0,,
"11,2","5,5",38,"21,5",15,,E10,0,0,0,,
"12,9","3,9",36,"21,5",14,,E10,0,0,0,,
"18,5","4,5",46,"21,5",15,,E10,0,0,0,,
"8,3","6,4",50,"21,5",10,,E10,0,0,0,,
"7,8","4,4",43,"21,5",11,,E10,0,0,0,,
"12,3",5,40,"21,5",6,,E10,0,0,0,,
"4,9","6,4",26,"21,5",4,,E10,0,0,0,,
"11,9","5,3",30,"21,5",9,,E10,0,0,0,,
"12,4","5,6",42,"21,5",4,,E10,0,0,0,,
"11,8","4,6",38,"21,5",0,,E10,0,0,0,,
"12,3","5,9",59,"21,5",10,,E10,0,0,0,,
"24,7","5,1",58,"21,5",12,,E10,0,0,0,,
"12,4","4,7",46,"21,5",11,,E10,0,0,0,,
"17,3","5,1",24,"21,5",5,,E10,0,0,0,,
"33,4","5,6",36,"21,5",3,,E10,0,0,0,,
"11,8","5,1",32,"21,5",3,,E10,0,0,0,,
"25,9","4,9",39,"21,5",8,,E10,0,0,0,,
"11,8","4,7",40,"21,5",4,,E10,0,0,0,,
"25,3","5,5",32,"21,5",3,,E10,0,0,0,,
"14,2","5,9",38,"21,5",1,,E10,0,0,0,,
"17,9","5,7",37,"21,5",1,,E10,0,0,0,,
"11,8","4,7",36,"21,5",1,,E10,0,0,0,,
"12,3","5,9",62,"21,5",6,,E10,0,0,0,,
"12,4","4,1",57,"21,5",9,,E10,0,0,0,,
"18,4","5,7",21,"22,5",2,,E10,0,0,0,,
"18,4","5,8",28,"21,5",3,,E10,0,0,0,,
"18,3","5,5",29,"21,5",1,,E10,0,0,0,,
"18,4","5,7",35,"21,5",4,,E10,0,0,0,,
"12,3","5,3",51,"21,5",11,,E10,0,0,0,,
"11,8",5,29,"21,5",10,,E10,0,0,0,,
"12,3","5,6",58,"21,5",8,,E10,0,0,0,,
"32,6","4,8",40,"21,5",7,,E10,0,0,0,,
19,"4,3",36,"21,5",7,,E10,0,0,0,,
"12,1","5,7",36,"21,5",8,,E10,0,0,0,,
20,"5,2",37,"21,5",4,,E10,0,0,0,,
"4,9","7,4",26,"21,5",6,,E10,0,0,0,,
"11,8","4,8",23,"21,5",9,,E10,0,0,0,,
"12,3","6,5",58,"21,5",7,,E10,0,0,0,,
"12,4",4,55,"21,5",7,AC rain,E10,1,1,0,,
"4,5",5,29,"21,5",7,AC,E10,1,0,0,,
"11,7","4,6",37,"21,5",6,,E10,0,0,0,,
"10,2","4,3",44,"21,5",7,,E10,0,0,0,,
"5,4","3,3",32,"21,5",7,,SP98,0,0,0,"37,6",SP98
2,"9,9",21,"21,5",4,,SP98,0,0,0,,
"14,2","5,1",32,"21,5",7,,SP98,0,0,0,,
16,"4,9",25,"21,5",8,,SP98,0,0,0,,
"11,8","4,9",25,"21,5",11,,SP98,0,0,0,,
"27,3","4,7",36,"21,5",10,,SP98,0,0,0,,
"11,8","5,1",29,"21,5",5,rain,SP98,0,1,0,,
"10,6","4,9",63,"21,5",6,,SP98,0,0,0,,
"11,6","4,2",61,"21,5",7,,SP98,0,0,0,,
"13,1","6,1",46,"21,5",6,rain,SP98,0,1,0,,
"6,1","6,4",28,"21,5",8,,SP98,0,0,0,,
"153,5","4,9",82,"21,5",3,rain,SP98,0,1,0,,
"11,8","4,9",24,"21,5",7,,SP98,0,0,0,,
"12,3","6,2",61,"21,5",8,,SP98,0,0,0,,
"12,4","4,2",57,"21,5",8,,SP98,0,0,0,,
"12,3","5,7",52,"21,5",8,rain,SP98,0,1,0,,
"2,9","7,9",18,"21,5",9,AC rain,SP98,1,1,0,,
"2,1","12,2",23,"21,5",9,,SP98,1,1,0,,
"9,8","5,8",24,"21,5",6,,SP98,0,0,0,,
"6,8","5,3",26,"21,5",6,,SP98,0,0,0,,
"12,4","5,4",24,"21,5",7,,SP98,0,0,0,,
"12,4","4,7",57,"21,5",8,,SP98,0,0,0,,
"11,8","4,6",41,"21,5",6,,SP98,0,0,0,,
"12,3","5,4",55,"21,5",8,,SP98,0,0,0,,
14,"4,3",40,"21,5",8,,SP98,0,0,0,,
"11,8","4,5",37,"21,5",4,AC,SP98,1,0,0,,
"12,3","5,2",55,"21,5",12,,SP98,0,0,0,,
2,"6,2",20,"21,5",10,,SP98,0,0,0,,
"13,9","5,1",29,"21,5",6,,SP98,0,0,0,,
"9,7","3,9",42,"21,5",8,,SP98,0,0,0,,
"11,6",5,25,"21,5",6,,SP98,0,0,0,,
"14,2","5,4",38,"21,5",7,,SP98,0,0,0,,
"11,8","4,5",39,"21,5",6,,SP98,0,0,0,,
"24,8","5,1",50,"21,5",9,,SP98,0,0,0,,
"12,4","4,7",56,"21,5",7,,SP98,0,0,0,,
"34,8",4,28,20,4,,SP98,0,0,0,,
"14,2","5,4",36,20,6,,SP98,0,0,0,,
"5,2","4,5",39,20,10,,SP98,0,0,0,,
"10,5","3,6",42,20,10,,SP98,0,0,0,"37,7",SP98
"12,3","5,2",57,20,10,,SP98,0,0,0,,
"11,8","4,9",25,20,11,,SP98,0,0,0,,
"12,3","6,2",58,20,11,rain,SP98,0,1,0,,
"13,2","4,3",51,20,11,rain,SP98,0,1,0,,
13,5,45,20,11,rain,SP98,0,1,0,,
"12,9","5,1",32,20,11,,SP98,0,0,0,,
"13,9","5,6",22,20,8,,SP98,0,0,0,,
"11,8","4,3",37,20,6,,SP98,0,0,0,,
"12,2","5,8",60,20,11,,SP98,0,0,0,,
"12,5",4,51,20,13,,SP98,0,0,0,,
"12,4","4,7",43,,10,,SP98,0,0,0,,
"11,8","5,9",21,20,9,AC rain,SP98,1,1,0,,
"11,8","5,3",52,,11,,SP98,0,0,0,,
"12,5","4,2",57,20,11,,SP98,0,0,0,,
"15,7","5,3",33,,9,,SP98,0,0,0,,
"12,9","5,7",35,,9,,SP98,0,0,0,,
"6,4","4,4",37,,10,,SP98,0,0,0,,
"5,3","4,1",34,,9,,SP98,0,0,0,,
"26,2","5,8",71,21,8,AC rain,SP98,1,1,0,,
"18,8",5,62,,9,rain,SP98,0,1,0,,
"4,9","6,9",25,21,12,rain,SP98,0,1,0,,
"12,4","5,4",18,21,11,AC rain,SP98,1,1,0,,
"22,9","5,3",45,"20,5",7,,SP98,0,0,0,,
"162,7","5,5",75,23,1,,SP98,0,0,0,45,SP98
"4,9","6,5",26,21,1,,SP98,0,0,0,,
"11,8","4,7",36,21,4,,SP98,0,0,0,,
"16,6","5,1",56,21,7,,SP98,0,0,0,,
"12,4","5,7",37,21,7,,SP98,0,0,0,,
"15,9","5,4",25,21,7,,SP98,0,0,0,,
"5,1","8,7",21,"23,5",5,,SP98,0,0,0,,
"22,4","4,9",66,"20,5",7,,SP98,0,0,0,,
"31,1","4,7",42,"20,5",7,,SP98,0,0,0,,
"4,9","6,3",27,"20,5",3,,SP98,0,0,0,,
"11,8","5,1",26,23,4,rain,SP98,0,1,0,,
"22,9",6,42,23,4,rain,SP98,0,1,0,,
"12,4","4,6",38,23,1,snow,SP98,0,1,0,,
"12,9","5,8",40,23,4,,SP98,0,0,0,,
"11,8","5,1",43,23,0,,SP98,0,0,0,,
"12,2","5,8",58,23,2,,SP98,0,0,0,,
"24,8","4,6",55,23,3,,SP98,0,0,0,,
"14,2","5,6",24,23,8,,SP98,0,0,0,,
"11,8","4,6",38,23,0,snow,SP98,0,1,0,,
"12,2","6,3",57,23,0,snow,SP98,0,1,0,,
"24,7","5,5",56,25,1,,SP98,0,0,0,,
"6,8","4,3",46,24,2,,SP98,0,0,0,,
"17,3","5,6",37,"21,5",1,,SP98,0,0,0,,
"11,8","4,3",44,"21,5",-3,,SP98,0,0,0,,
"15,9","5,7",46,"21,5",5,,SP98,0,0,0,,
"5,1","6,4",39,"21,5",4,,SP98,0,0,0,,
"16,1","4,5",33,"21,5",6,,SP98,0,0,0,,
"11,8","4,5",43,"21,5",3,,SP98,0,0,0,,
"4,2",6,26,"21,5",5,,SP98,0,0,0,,
"17,4","5,1",30,"21,5",5,,SP98,0,0,0,,
"23,5",6,25,"21,5",5,rain,SP98,0,1,0,,
"11,8","4,5",38,"21,5",5,rain,SP98,0,1,0,,
"12,3","6,1",61,"21,5",10,rain,SP98,0,1,0,,
"16,1","5,4",24,"21,5",7,rain,E10,0,1,0,38,E10
"11,8","4,3",40,"21,5",10,rain,E10,0,1,0,,
"12,3","5,4",58,"21,5",13,,E10,0,0,0,,
"12,4","4,3",49,"21,5",17,,E10,0,0,0,,
7,"5,2",25,"21,5",17,,E10,0,0,0,,
"11,8","4,1",37,"21,5",10,,E10,0,0,0,,
"20,1","4,4",41,"21,5",18,,E10,0,0,0,,
"20,8","4,5",45,"21,5",10,,E10,0,0,0,,
"1,7","10,8",14,"21,5",10,rain,E10,0,1,0,,
"35,9","4,7",45,"21,5",12,,E10,0,0,0,,
"36,9","4,8",52,"21,5",5,,E10,0,0,0,,
"16,8",4,46,"21,5",8,,E10,0,0,0,,
"9,9",5,28,"21,5",9,,E10,0,0,0,,
"22,9","4,6",61,"21,5",7,rain,E10,0,1,0,,
"17,3",5,61,"21,5",6,AC rain,E10,1,1,0,,
"11,8","4,3",37,"21,5",7,,E10,0,0,0,,
"36,6","5,2",80,"21,5",7,rain,E10,0,1,0,,
"44,9","4,7",62,"21,5",8,,E10,0,0,0,,
"11,8","4,2",34,"21,5",9,rain,E10,0,1,0,,
"21,6","5,3",44,"21,5",9,rain,E10,0,1,0,,
"39,4","5,3",60,"21,5",9,rain,E10,0,1,0,,
"5,1","8,1",39,"21,5",4,,E10,0,0,0,,
"26,6","4,8",38,"21,5",7,,E10,0,0,0,,
"53,2","5,1",71,"21,5",2,,E10,0,0,0,,
"18,9","4,4",53,"21,5",2,,E10,0,0,0,,
"43,5",5,80,"21,5",3,,E10,0,0,0,,
"6,1","6,3",26,"21,5",5,,E10,0,0,0,,
"16,4","4,8",49,"21,5",5,,E10,0,0,0,,
"12,3","6,1",40,"21,5",6,,E10,0,0,0,,
"21,1","4,6",36,"21,5",8,,E10,0,0,0,,
"21,1","4,8",43,"21,5",7,,E10,0,0,0,,
"22,7","4,7",55,"21,5",6,,E10,0,0,0,,
"44,4","4,8",38,"21,5",8,,E10,0,0,0,"38,3",E10
"35,8","4,4",51,"21,5",6,,E10,0,0,0,,
"11,8","4,9",44,"21,5",0,,E10,0,0,0,,
"26,2","4,9",42,"21,5",6,,E10,0,0,0,,
"40,6","4,4",44,21,3,,E10,0,0,0,,
"12,4","5,3",38,21,-5,,E10,0,0,0,,
"14,1","5,3",47,21,-3,,E10,0,0,0,,
"58,7","4,8",75,21,0,,E10,0,0,0,,
"16,2","5,2",29,21,0,,E10,0,0,0,,
"12,3","4,9",50,"22,5",0,,E10,0,0,0,,
"12,3","7,1",52,"22,5",0,AC snow,E10,1,1,0,,
"12,4","5,2",51,"22,5",1,,E10,0,0,0,,
"31,8","4,7",59,"22,5",3,,E10,0,0,0,,
"12,3","5,1",55,"22,5",8,,E10,0,0,0,,
"51,6",5,73,"22,5",12,,E10,0,0,0,,
"38,6","4,6",44,"22,5",10,,E10,0,0,0,,
"12,3","4,8",41,"22,5",7,,E10,0,0,0,,
"81,2","4,4",69,22,13,,E10,0,0,0,,
"130,3","4,6",85,22,12,,E10,0,0,0,,
"67,2","4,3",67,22,18,,E10,0,0,0,,
"43,7","4,7",44,22,9,half rain half sun,SP98,0,1,0,10,SP98
"12,1","4,2",43,22,4,,SP98,0,0,0,39,SP98
"56,1","4,8",82,22,13,,SP98,0,0,0,,
39,"4,1",61,22,16,,SP98,0,0,0,,
"11,8","4,5",41,"21,5",13,,SP98,0,0,0,,
"38,5","4,8",63,"21,5",14,,SP98,0,0,0,,
"28,2","4,6",54,"21,5",14,,SP98,0,0,0,,
"2,9","7,4",24,"21,5",14,,SP98,0,0,0,,
"6,1","5,6",24,"21,5",13,,SP98,0,0,0,,
"19,6","4,9",43,"21,5",13,,SP98,0,0,0,,
"22,2","3,8",42,,15,,SP98,0,0,0,,
"13,6","4,5",44,19,18,,SP98,0,0,0,,
"12,6","4,1",33,,17,,SP98,0,0,0,,
"8,7","5,3",28,"22,5",12,AC rain,SP98,1,1,0,,
"7,9","4,7",31,"22,5",12,AC,SP98,1,0,0,,
"2,4",9,26,20,10,,SP98,0,0,0,,
"4,9","6,3",26,20,10,,SP98,0,0,0,,
"18,1","3,6",36,20,19,,SP98,0,0,0,,
"25,9","3,7",39,20,21,,SP98,0,0,0,,
"1,3","11,5",21,20,10,,SP98,0,0,0,,
"14,1",5,22,20,12,,SP98,0,0,0,,
"13,4","5,5",31,20,9,,SP98,0,0,0,,
"6,4","4,7",33,20,8,,SP98,0,0,0,,
"12,9","4,5",42,20,13,,SP98,0,0,0,,
"12,1","4,4",33,"22,5",5,,SP98,0,0,0,,
"15,7","4,1",32,"22,5",13,,SP98,0,0,0,,
"16,2","4,4",26,"22,5",11,,SP98,0,0,0,,
"12,8","4,6",22,"22,5",12,,SP98,0,0,0,,
19,"4,4",58,"22,5",17,sun,SP98,0,0,1,,
29,4,27,"22,5",12,,SP98,0,0,0,,
"12,1",5,32,"22,5",9,,SP98,0,0,0,,
"12,3","5,2",55,"22,5",10,,SP98,0,0,0,,
"24,8",4,56,"22,5",11,,SP98,0,0,0,,
"12,9","5,1",34,"22,5",8,rain,SP98,0,1,0,,
