class_id,lego_ids,lego_names,minifigure_name
1,[76115],['Spider Mech vs. Venom'],SPIDER-MAN
2,[76115],['Spider Mech vs. Venom'],VENOM
3,[76115],['Spider Mech vs. Venom'],AUNT MAY
4,[76115],['Spider Mech vs. Venom'],GHOST SPIDER
5,[75208],"[""Yoda's Hut""]",YODA
6,[75208],"[""Yoda's Hut""]",LUKE SKYWALKER
7,[75208],"[""Yoda's Hut""]",R2-D2
8,[75199],"[""General Grievous' Combat Speeder""]",MACE WINDU
9,[75199],"[""General Grievous' Combat Speeder""]",GENERAL GRIEVOUS
10,[75264],"[""Kylo Ren's Shuttle Microfighter""]",KYLO REN
11,[75254],"[""AT-ST Raider from The Mandalorian""]",THE MANDALORIAN
12,[75254],"[""AT-ST Raider from The Mandalorian""]",CARA DUNE
13,[75254],"[""AT-ST Raider from The Mandalorian""]",KLATOOINIAN RAIDER 1
14,[75254],"[""AT-ST Raider from The Mandalorian""]",KLATOOINIAN RAIDER 2
15,[76128],"[""Molten Man Battle""]",MYSTERIO
16,[76128],"[""Molten Man Battle""]",FIREFIGHTER
17,[76128],"[""Molten Man Battle""]",SPIDER-MAN
18,[75950],"[""Aragog's Lair""]",HARRY POTTER
19,[75950],"[""Aragog's Lair""]",RON WEASLEY
20,[76162],"[""Black Widow's Helicopter Chase""]",BLACK WIDOW
21,[76162],"[""Black Widow's Helicopter Chase""]",YELENA BELOVA
22,[76162],"[""Black Widow's Helicopter Chase""]",TASKMASTER
23,[76123],"[""Captain America: Outriders Attack""]",CAPTAIN AMERICA
24,[76123],"[""Captain America: Outriders Attack""]",OUTRIDER 1
25,[76123],"[""Captain America: Outriders Attack""]",OUTRIDER 2
26,[75926],"[""Pteranodon Chase""]",OWEN GRADY
27,[75926],"[""Pteranodon Chase""]",TRACKER TRAQUEUR RASTREADOR
28,[76125],"[""Iron Man Hall of Armor""]",IRON MAN MK 1
29,[76125],"[""Iron Man Hall of Armor""]",IRON MAN MK 5
30,[76125],"[""Iron Man Hall of Armor""]",IRON MAN MK 41
31,[76125],"[""Iron Man Hall of Armor""]",IRON MAN MK 50
32,[75273],"[""Poe Dameron's X-wing Fighter""]",JANNAH
33,[7104],"[""Desert Skiff""]",HAN SOLO
34,[75183],"[""Darth Vader Transformation""]",DARTH VADER
35,[75183],"[""Darth Vader Transformation""]",ANAKIN SKYWALKER
36,[75183],"[""Darth Vader Transformation""]",EMPEROR PALPATINE
