pre_score,Age_in_years,Percentage_in_10_Class,Percentage_in_12_Class,Percentage_in_Under_Graduate,percentage_MBA,post_score,Gender,STATE,Previous_Degree,Marital_status,Place_you_belong_to,perceived#Job#Skill,Specialization
75,22,71,74.8,72,61,83.33333333,Male,Central Zone,Engineering,Single,Urban,prefered skills,Marketing
71.66666667,25,77.6,82.6,76.9,66.85,76.66666667,Male,Central Zone,Engineering,Single,Semi Urban,prefered skills,LOS
76.66666667,26,93.2,83.8,77,74.97,75,Female,Central Zone,Engineering,Single,Urban,desired skills,Finance
66.66666667,22,91.2,80,67,68.3,60,Male,Central Zone,Commerce,Single,Semi Urban,prefered skills,Finance
71.66666667,24,79.8,61.6,60.33,69.28,76.66666667,Female,Central Zone,Engineering,Single,Urban,prefered skills,Finance
83.33333333,23,67,62,67,63,80,Female,Central Zone,Commerce,Single,Urban,desired skills,Marketing
73.33333333,22,82,70,76.5,67,81.66666667,Male,Central Zone,Engineering,Single,Semi Urban,prefered skills,Marketing
85,26,86.4,80.4,70.22,70.48,76.66666667,Male,Central Zone,Engineering,Single,Semi Urban,desired skills,LOS
71.66666667,22,95,78.6,75.43,68.54,88.33333333,Male,Central Zone,Engineering,Single,Urban,prefered skills,Marketing
75,22,71,74.8,72,61,83.33333333,Male,Central Zone,Engineering,Single,Urban,prefered skills,Marketing
71.66666667,25,77.6,82.6,76.9,66.85,76.66666667,Male,Central Zone,Engineering,Single,Semi Urban,prefered skills,LOS
76.66666667,26,93.2,83.8,77,74.97,75,Female,Central Zone,Engineering,Single,Urban,desired skills,Finance
66.66666667,22,91.2,80,67,68.3,60,Male,Central Zone,Commerce,Single,Semi Urban,prefered skills,Finance
71.66666667,24,79.8,61.6,60.33,69.28,76.66666667,Female,Central Zone,Engineering,Single,Urban,prefered skills,Finance
83.33333333,23,67,62,67,63,80,Female,Central Zone,Commerce,Single,Urban,desired skills,Marketing
73.33333333,22,82,70,76.5,67,81.66666667,Male,Central Zone,Engineering,Single,Semi Urban,prefered skills,Marketing
85,26,86.4,80.4,70.22,70.48,76.66666667,Male,Central Zone,Engineering,Single,Semi Urban,desired skills,LOS
71.66666667,22,95,78.6,75.43,68.54,88.33333333,Male,Central Zone,Engineering,Single,Urban,prefered skills,Marketing
71.66666667,25,77.6,82.6,76.9,66.85,76.66666667,Male,Central Zone,Engineering,Single,Semi Urban,prefered skills,LOS
76.66666667,26,93.2,83.8,77,74.97,75,Female,Central Zone,Engineering,Single,Urban,desired skills,Finance
71.66666667,24,79.8,61.6,60.33,69.28,76.66666667,Female,Central Zone,Engineering,Single,Urban,prefered skills,Finance
73.33333333,22,82,70,76.5,67,81.66666667,Male,Central Zone,Engineering,Single,Semi Urban,prefered skills,Marketing
85,26,86.4,80.4,70.22,70.48,76.66666667,Male,Central Zone,Engineering,Single,Semi Urban,desired skills,LOS
71.66666667,22,95,78.6,75.43,68.54,88.33333333,Male,Central Zone,Engineering,Single,Urban,prefered skills,Marketing
71.66666667,25,77.6,82.6,76.9,66.85,76.66666667,Male,Central Zone,Engineering,Single,Semi Urban,prefered skills,LOS
76.66666667,26,93.2,83.8,77,74.97,75,Female,Central Zone,Engineering,Single,Urban,desired skills,Finance
66.66666667,22,91.2,80,67,68.3,60,Male,Central Zone,Commerce,Single,Semi Urban,prefered skills,Finance
71.66666667,24,79.8,61.6,60.33,69.28,76.66666667,Female,Central Zone,Engineering,Single,Urban,prefered skills,Finance
75,21,85,88,79,70.6,75,Female,East Zone,Commerce,Single,Urban,prefered skills,HR
43,22,78,80,87,67.27,100,Male,East Zone,Engineering,Single,Urban,prefered skills,Finance
90,22,78,80,87,67.27,100,Male,East Zone,Engineering,Single,Urban,desired skills,Finance
100,22,78,80,87,67.27,100,Male,East Zone,Engineering,Single,Urban,desired skills,Finance
50,20,72,66,60,60.7,71.66666667,Male,East Zone,Management,Single,Urban,desired skills,Marketing
43,23,79,70,81.6,64,7,Male,East Zone,Commerce,Single,Urban,prefered skills,Finance
40,22,85,89,63,70,78.33333333,Female,East Zone,Commerce,Single,Urban,required skills,Finance
75,22,69.6,65.25,62,62,86.66666667,Male,East Zone,Management,Single,Semi Urban,prefered skills,Marketing
63.33333333,21,84.66,79.66,70,67.08,88.33333333,Male,East Zone,Science,Single,Semi Urban,prefered skills,Marketing
86.66666667,26,84,91.5,71.44,68,73.33333333,Female,East Zone,Commerce,Single,Urban,desired skills,Marketing
60,23,88.67,85.29,75.5,68.1,80,Female,East Zone,Engineering,Single,Urban,prefered skills,Marketing
65,24,79,61,70,68,71.66666667,Male,East Zone,Science,Single,Urban,prefered skills,Marketing
75,23,80.6,68.3,73,67.4,50,Male,East Zone,Engineering,Single,Urban,prefered skills,Marketing
55,21,76,75.2,61,65,71.66666667,Male,East Zone,Commerce,Single,Urban,prefered skills,Finance
91.66666667,26,75.75,61.86,67.88,68.38,95,Male,East Zone,Engineering,Single,Rural,desired skills,LOS
60,21,92.4,89,77,75,71.66666667,Female,East Zone,Commerce,Single,Urban,prefered skills,Finance
70,24,82.2,71.4,64.25,70.19,76.66666667,Female,East Zone,Science,Single,Urban,prefered skills,Finance
73.33333333,23,80.67,60.29,70.58,62.06,93.33333333,Male,East Zone,Management,Single,Urban,prefered skills,HR
30,21,79.8,65.5,81.75,68.88,48.33333333,Female,East Zone,Science,Single,Urban,required skills,Finance
60,22,89.8,82.5,62.375,71,75,Male,East Zone,Science,Single,Semi Urban,prefered skills,Finance
88.33333333,23,77,87,65,65,35,Female,East Zone,Commerce,Single,Urban,desired skills,Marketing
75,21,85,88,79,70.6,75,Female,East Zone,Commerce,Single,Urban,prefered skills,HR
43,22,78,80,87,67.27,100,Male,East Zone,Engineering,Single,Urban,prefered skills,Finance
90,22,78,80,87,67.27,100,Male,East Zone,Engineering,Single,Urban,desired skills,Finance
100,22,78,80,87,67.27,100,Male,East Zone,Engineering,Single,Urban,desired skills,Finance
50,20,72,66,60,60.7,71.66666667,Male,East Zone,Management,Single,Urban,desired skills,Marketing
43,23,79,70,81.6,64,7,Male,East Zone,Commerce,Single,Urban,prefered skills,Finance
40,22,85,89,63,70,78.33333333,Female,East Zone,Commerce,Single,Urban,required skills,Finance
75,22,69.6,65.25,62,62,86.66666667,Male,East Zone,Management,Single,Semi Urban,prefered skills,Marketing
63.33333333,21,84.66,79.66,70,67.08,88.33333333,Male,East Zone,Science,Single,Semi Urban,prefered skills,Marketing
86.66666667,26,84,91.5,71.44,68,73.33333333,Female,East Zone,Commerce,Single,Urban,desired skills,Marketing
60,23,88.67,85.29,75.5,68.1,80,Female,East Zone,Engineering,Single,Urban,prefered skills,Marketing
65,24,79,61,70,68,71.66666667,Male,East Zone,Science,Single,Urban,prefered skills,Marketing
75,23,80.6,68.3,73,67.4,50,Male,East Zone,Engineering,Single,Urban,prefered skills,Marketing
55,21,76,75.2,61,65,71.66666667,Male,East Zone,Commerce,Single,Urban,prefered skills,Finance
91.66666667,26,75.75,61.86,67.88,68.38,95,Male,East Zone,Engineering,Single,Rural,desired skills,LOS
60,21,92.4,89,77,75,71.66666667,Female,East Zone,Commerce,Single,Urban,prefered skills,Finance
70,24,82.2,71.4,64.25,70.19,76.66666667,Female,East Zone,Science,Single,Urban,prefered skills,Finance
73.33333333,23,80.67,60.29,70.58,62.06,93.33333333,Male,East Zone,Management,Single,Urban,prefered skills,HR
30,21,79.8,65.5,81.75,68.88,48.33333333,Female,East Zone,Science,Single,Urban,required skills,Finance
60,22,89.8,82.5,62.375,71,75,Male,East Zone,Science,Single,Semi Urban,prefered skills,Finance
88.33333333,23,77,87,65,65,35,Female,East Zone,Commerce,Single,Urban,desired skills,Marketing
50,20,72,66,60,60.7,71.66666667,Male,East Zone,Management,Single,Urban,desired skills,Marketing
40,22,85,89,63,70,78.33333333,Female,East Zone,Commerce,Single,Urban,required skills,Finance
86.66666667,26,84,91.5,71.44,68,73.33333333,Female,East Zone,Commerce,Single,Urban,desired skills,Marketing
65,24,79,61,70,68,71.66666667,Male,East Zone,Science,Single,Urban,prefered skills,Marketing
88.33333333,23,77,87,65,65,35,Female,East Zone,Commerce,Single,Urban,desired skills,Marketing
100,22,78,80,87,67.27,100,Male,East Zone,Engineering,Single,Urban,desired skills,Finance
40,22,85,89,63,70,78.33333333,Female,East Zone,Commerce,Single,Urban,required skills,Finance
55,21,76,75.2,61,65,71.66666667,Male,East Zone,Commerce,Single,Urban,prefered skills,Finance
91.66666667,26,75.75,61.86,67.88,68.38,95,Male,East Zone,Engineering,Single,Rural,desired skills,LOS
30,21,79.8,65.5,81.75,68.88,48.33333333,Female,East Zone,Science,Single,Urban,required skills,Finance
78.33333333,25,71.67,89.98,73,67.19,88.33333333,Female,North East,Commerce,Single,Urban,desired skills,Finance
71.66666667,23,89.33,84.6,66.4,63.08,100,Male,North East,Engineering,Single,Semi Urban,prefered skills,Finance
78.33333333,25,71.67,89.98,73,67.19,88.33333333,Female,North East,Commerce,Single,Urban,desired skills,Finance
71.66666667,23,89.33,84.6,66.4,63.08,100,Male,North East,Engineering,Single,Semi Urban,prefered skills,Finance
71.66666667,23,89.33,84.6,66.4,63.08,100,Male,North East,Engineering,Single,Semi Urban,prefered skills,Finance
60,20,88,87.8,65,70.25,81.66666667,Male,North Zone,Commerce,Single,Urban,prefered skills,Marketing
63.33333333,23,75,72,70,67,80,Male,North Zone,Engineering,Single,Semi Urban,prefered skills,Marketing
63.33333333,22,72,83,69,63,73.33333333,Male,North Zone,Commerce,Single,Urban,prefered skills,Finance
68.33333333,22,91.2,78,69.8,70.51,73.33333333,Female,North Zone,Science,Single,Urban,prefered skills,Marketing
46.66666667,20,80,93.25,75,63.3,78.33333333,Female,North Zone,Commerce,Single,Urban,prefered skills,Marketing
60,20,93,85,66,65,86.66666667,Female,North Zone,Commerce,Single,Urban,prefered skills,HR
76.66666667,25,83.4,79,66.8,66.1,80,Male,North Zone,Engineering,Single,Urban,desired skills,Marketing
80,25,77.8,62.2,60.1,68.48,73.33333333,Male,North Zone,Engineering,Single,Urban,desired skills,LOS
76.66666667,25,77.8,62.2,60.1,68.48,73.33333333,Male,North Zone,Engineering,Single,Urban,desired skills,LOS
50,22,87.5,72.4,64,66,51.66666667,Female,North Zone,Science,Single,Urban,prefered skills,HR
86.66666667,22,89.9,83.4,84.1,73.91,83.33333333,Female,North Zone,Science,Single,Urban,desired skills,HR
