Product,Rate,Top_Sell_Rank,Popularity_Rank
1.25 COOLDRINKS,670.0,834,732
"10"" CLASSIFOAM-1200",1680.0,709,416
"10"" ESSFOAM LOOSE",35.0,501,655
"10"" GREEN",1610.0,794,732
"10"" SILVER HEAVY",25.0,774,732
"10"" THERMOCOL PRINT",3.0,409,655
10*10 CITIZEN,120.0,593,486
10*10 DHAVAT,125.0,564,579
10*10 JANATHA,135.0,727,732
10*10 MORE,140.0,202,120
10*10 NILKAMAL,110.0,273,255
10*10 PAPER SHEET,70.0,507,386
10*10 PRIYA 2ND,100.0,727,732
10*10 RADHA KRISHNA,110.0,197,154
10*10 ROYAL,90.0,386,320
10*10 SARASWATHI SH,140.0,477,524
10*10 SHEET,146.0,104,23
10*10 SIVA SHEET,156.0,128,42
10*10 SIVA SILKY,145.0,331,234
10*10 TEJA,142.0,64,7
10*10 TIGER,150.0,159,104
10*12 100 MW,6.0,492,732
10*12 100BK,17.0,171,396
10*12 100W,15.2,140,350
10*12 50 BK,6.0,232,592
10*12 50 W,8.0,670,732
10*12 BABA,5.5,333,655
10*12 BK -KG,85.0,774,732
10*12 BK KRISHNA,14.0,77,213
10*12 BLACK,90.0,313,524
10*12 BLUE,6.5,109,330
10*12 BLUE KG,90.0,670,732
10*12 COLOUR KG,160.0,648,579
10*12 COLOURS,6.5,283,614
10*12 GREENPACK-BK,17.0,474,732
10*12 KRAZY,9.0,130,452
10*12 KRISHNA,8.6,54,118
10*12 KRISHNA-BK(10,15.0,9,24
10*12 M.W,110.0,348,377
10*12 MW 51 MIC,18.0,437,596
10*12 RK,16.0,36,60
10*12 RK-BK,8.5,186,446
10*12 SARAS-BK,8.7,37,79
10*12 SARAS-NAT,81.0,5,38
10*15 SPECIAL D-CUT,140.0,850,732
10*15 STAR-DCUT,100.0,174,103
10*15 YELLOW DCUT,140.0,727,608
1000ML CONTAINER,8.5,59,184
100LEAF,590.0,375,226
100LEAF -SP,610.0,244,55
100ML HIPS,1.0,445,732
100ML PLASTIC BOUL,6.8,108,370
10RS RUBBER SHEET,190.0,549,247
11*14 M.W,130.0,667,626
12 GOLD HEAVY,40.0,774,732
"12"" ARKA PLATES",500.0,812,732
"12"" BIOFOAM(750)",2700.0,834,732
"12"" SPARKLE(1050)",3150.0,792,655
"12""5 PLY PLATES",260.0,122,448
"12""MULITWATER BUBL",58.0,639,655
"12""MULTICOLOUR",50.0,812,732
"12""PLATINA",2700.0,834,732
12*12 APPU,85.0,712,643
12*12 PGS,120.0,330,363
12*12 ROYAL,90.0,468,443
12*12 TIGER,160.0,477,484
12*14 MW,100.0,812,732
12*18 SPECIAL D-CUT,150.0,727,592
12*18 STAR-CUT,100.0,176,94
12*18 YELLOW D-CUT,145.0,518,436
1200ML CONTAINER,10.0,575,712
12GREEN BUFFET,260.0,43,221
13*16 100 SAR-BK,16.5,310,486
13*16 100W,17.0,181,337
13*16 50W-SANTOSH,14.0,670,732
13*16 BK KRISHNA,17.0,112,198
13*16 BK(100)KRISHN,18.0,23,28
13*16 BK-KG,75.0,774,712
13*16 BLACK,17.0,247,434
13*16 BLACK RK,17.0,32,66
13*16 BLUE,15.0,187,352
13*16 BLUE KG,100.0,757,732
13*16 BLUE(100),16.0,519,732
13*16 COLOUR KG,165.0,589,522
13*16 KESHAV M.W,110.0,416,382
13*16 M.W,110.0,325,369
13*16 MW 50MIC,27.0,477,596
13*16 SIVA HIGH COU,150.0,624,704
13*16 WHITE RK,17.0,12,20
13GREEN BUFFET,150.0,351,566
14 5PLAY PLATES,460.0,48,150
14 GREEN,400.0,1,1
14 MULTI(8PACK),55.0,632,655
14 SILVER PLATES,290.0,452,643
14 SILVER(8PACK),45.0,283,312
14 SPECIAL PLATES,350.0,329,414
"14"" 3PLY SILVER",365.0,538,498
"14"" PLATES MULTI",300.0,497,353
"14""7PLY PLATES",400.0,133,122
"14""SPECIAL PLATES",50.0,747,732
14*14 SHEET,85.0,447,498
14*20 SP-DCUT,145.0,571,476
14*20 SPECIAL D-CUT,140.0,569,473
14*20 STAR-DCUT,100.0,264,167
14-GREEN 120GSM,375.0,720,732
150ML CLASSI-THERMO,1500.0,774,622
16*20 (50 BK),27.0,550,507
16*20 (50-W),80.0,154,224
16*20 100-BK,34.0,465,548
16*20 BLUE,26.0,472,626
16*20 BLUE KG,100.0,727,732
16*20 COLOUR KG,165.0,624,534
16*20 M.W,140.0,658,566
16*20 M.W 40MIC,110.0,747,655
16*20 MW 50MIC,30.0,670,732
16*20(100)SANTOTH,26.5,575,732
16*20(100-W),30.0,90,95
17*23 50W,40.0,373,390
17*23 BLUE KG,130.0,812,732
17*23 KESHAV M.W,130.0,511,344
17*23 M.W 40MIC,145.0,498,296
17*23 SANTOSH,40.0,314,283
17*23(100),40.0,568,393
18*20 SP-DCUT,140.0,747,732
19*22 SPECIAL D-CUT,145.0,644,534
1LIT WATER(15),230.0,812,655
20 *26 BLUE,78.0,216,93
20*26 COVER,120.0,208,187
20*26 LINER,200.0,771,643
20*26 MW KESHAV,120.0,410,232
22MRP THREADS,15.0,195,162
24 * 30 BLUE,90.0,222,98
24*20 M.W,140.0,470,329
24*30 COVER,120.0,166,126
24*30 M.W PRINT,120.0,828,732
24*36 LINER,220.0,524,491
250 ML PLASTIC BOUL,3.0,29,92
250ML CONTAINERS-N,2.95,322,655
30*50 LINER,200.0,239,317
300ML ORACLE FANCY,50.0,531,655
3CB TRAY HIPS,11.0,384,704
4*5 51MIC,150.0,193,315
4*5 ANKITA,17.0,241,484
4*5 MARIO,13.0,315,608
4*5 MEET,18.0,41,29
4*5 POLY,18.0,312,398
4*5 RUCHI,17.0,435,561
4*5 TRISUL,165.0,22,12
4*6 1/2 KG PACKET,160.0,488,323
4*6 ESWAR,160.0,774,732
4*6 POLY,17.0,72,137
4CB CLASSIFOM(1200),1680.0,739,498
4CB GLACE(1500),2025.0,803,712
4CB LOOSE,38.0,365,592
4CB PLASTIC CONTAIN,10.0,509,732
4SQUARE WATER GLASS,55.0,515,566
5 RS RUBBER SHEET,180.0,511,178
5*5 DONA LOOSE,70.0,275,465
5*5 DONA(4500),3200.0,655,408
5*6 ANKIT(20MIC),25.0,31,74
5*6 ANKITA 51MIC,33.0,300,380
5*6 ESWAR,150.0,450,520
5*6 ESWAR 250GRAMS,160.0,545,505
5*6 FRESHGOLD,22.0,332,579
5*6 HM,150.0,644,511
5*6 JANATHA POLY,35.0,96,130
5*6 MORE POLY,35.0,129,188
5*6 MORE(20MIC),160.0,323,438
5*6 POLY,160.0,78,69
5*6 SAROJ POLY,20.0,382,473
5*6 SP POLY,135.0,701,655
5*6 TRISUL,165.0,51,31
5*7 ESWAR,180.0,172,100
5*7 HM,147.0,588,511
5*7 POLY 1/2KG PACK,120.0,400,465
5*8 POLY,50.0,619,643
500ML CONTAINER M.W,380.0,251,486
500ML PLASTIC BOULS,3.8,3,48
50GRAM RUBBER,400.0,623,371
5CB-CONTAINER,11.0,277,655
6 CP TRAY HIPS,10.5,474,655
"6"" LOOSE",45.0,768,655
"6"" THERM(5600)",2240.0,850,732
"6""ESSFOAM(3600)",1590.0,598,563
6*9 100 PCS,60.0,376,322
6*9 HM,150.0,633,591
6*9 STAR DCUT,100.0,743,655
6-GLACEFOAM(4200),1806.0,774,655
600ML SOFTDRINKS,740.0,771,712
"7"" PLATES LOOSE",30.0,827,732
"7""CLASSIC(4800)",3120.0,812,704
"7""ESSFOAM(2250)",1575.0,850,732
"7""THERMOCOL PRINT(1",2070.0,834,732
7*10 100 PCS,70.0,271,205
7*10 HM,150.0,694,655
7*11 STAR DCUT,100.0,768,655
750ML CONTAINER,8.0,116,452
"8""-SILVER HEAVY",14.0,607,732
8*10 M.W,104.0,727,732
8*11 100 PCS,75.0,319,240
8*11 HM,170.0,601,475
8*11 STAR-DCUT,110.0,268,173
80 LEAF,370.0,234,65
80ML RANGOLI,12.0,649,655
9 CORNER GLASS,45.0,658,655
"9""CLASSIFOAM(1500)",2250.0,755,596
"9""PLATE(1800)",1800.0,771,614
9*12 100 PCS,90.0,379,295
9*12 STAR-DCUT,120.0,320,227
9*9 PGS,100.0,344,427
9*9 SILVER POUCH,65.0,649,732
9*9 TIGER,140.0,514,511
90LEAF,380.0,661,592
90ML RANGEELA,16.0,30,45
90ML RANGOLI,15.5,551,655
ADARSH 4*5,10.0,427,712
ADVANCE 10*12 BLUE,7.5,670,732
ALLOUT 10*12 BK,8.4,185,502
ALLOUT 13*16 BLACK,15.0,340,614
APPLE 300ML,32.0,42,30
APPLE 300ML(90),32.0,569,732
APPLE 300ML(COLOUR),29.0,231,372
APPLE HEXA GLASS,40.0,245,355
APPLE WATER,29.0,11,4
APPLE WATER COLOUR,32.0,384,534
APPLE WINE,30.0,40,27
"ARCA 6""",2.0,305,732
ARKA SNACKS PLATES,1.3,278,732
ASHA 10*12 BLU,4.0,228,638
BAHUBALI ICE,19.0,291,511
BAHUBALI WINE,31.0,20,8
BASKIN COLOUR,28.0,670,626
BASKIN SPOON,40.0,82,85
BASKIN WHITE,40.0,482,360
BEER COVER,130.0,242,192
BEND STRAW,150.0,457,291
BIG M.W SP,30.0,465,496
BIG M.W SPOON,20.0,76,46
