INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,PRECINCT,JURISDICTION_CODE,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lon_Lat
201575314,08/23/2019,22:10:00,QUEENS,103,0,,false,,,,25-44,M,BLACK,1037451,193561,40.697805308000056,-73.808140716999958,POINT (-73.80814071699996 40.697805308000056)
205748546,11/27/2019,15:54:00,BRONX,40,0,,false,<18,M,BLACK,25-44,F,BLACK,1006789,237559,40.818699730000048,-73.918570617999933,POINT (-73.91857061799993 40.81869973000005)
193118596,02/02/2019,19:40:00,MANHATTAN,23,0,,false,18-24,M,WHITE HISPANIC,18-24,M,BLACK HISPANIC,999347,227795,40.791916091000076,-73.94547965999999,POINT (-73.94547965999999 40.791916091000076)
204192600,10/24/2019,00:52:00,STATEN ISLAND,121,0,PVT HOUSE,true,25-44,M,BLACK,25-44,F,BLACK,938149,171781,40.638063982000062,-74.166108301999941,POINT (-74.16610830199996 40.63806398200006)
201483468,08/22/2019,18:03:00,BRONX,46,0,,false,25-44,M,BLACK HISPANIC,18-24,M,BLACK,1008224,250621,40.854547349000029,-73.913339443999973,POINT (-73.91333944399999 40.85454734900003)
198255460,06/07/2019,17:50:00,BROOKLYN,73,0,,false,45-64,M,WHITE HISPANIC,25-44,M,BLACK,1009650,186966,40.679827016000047,-73.908425238999939,POINT (-73.90842523899994 40.67982701600005)
194570529,03/11/2019,16:30:00,BROOKLYN,81,0,,false,18-24,M,BLACK,25-44,M,BLACK,1001181,189778,40.687565563000078,-73.938951975999942,POINT (-73.93895197599994 40.68756556300008)
203211777,10/03/2019,01:45:00,BROOKLYN,67,0,MULTI DWELL - APT BUILD,true,,,,25-44,M,BLACK,1004729,174146,40.644651706000047,-73.926206153999942,POINT (-73.92620615399994 40.64465170600005)
193694863,02/17/2019,03:00:00,QUEENS,114,2,MULTI DWELL - PUBLIC HOUS,false,18-24,M,BLACK,25-44,M,BLACK,999484,214810,40.756275434000031,-73.945014328999946,POINT (-73.94501432899995 40.75627543400003)
199582060,07/10/2019,02:56:00,BROOKLYN,69,0,,false,25-44,M,BLACK,25-44,M,BLACK,1012579,175845,40.64929346200006,-73.897911867999937,POINT (-73.89791186799994 40.64929346200006)
197997726,06/03/2019,23:05:00,BRONX,46,0,MULTI DWELL - APT BUILD,false,,,,18-24,M,WHITE HISPANIC,1013293,252852,40.860655553000072,-73.895006203999969,POINT (-73.89500620399997 40.86065555300008)
204464564,11/04/2019,13:40:00,BRONX,40,0,,false,45-64,M,BLACK,25-44,M,WHITE HISPANIC,1008120,238322,40.820790453000029,-73.91375915499998,POINT (-73.91375915499998 40.82079045300003)
205908100,12/02/2019,11:50:00,BROOKLYN,67,0,,false,25-44,F,BLACK,25-44,M,BLACK,1004359,173694,40.643411912000033,-73.927540780999948,POINT (-73.92754078099995 40.64341191200003)
197953462,06/01/2019,14:14:00,QUEENS,101,0,,false,18-24,M,BLACK,45-64,F,WHITE,1052809,159159,40.603274007000039,-73.753104532999942,POINT (-73.75310453299994 40.60327400700004)
201436772,08/21/2019,23:34:00,STATEN ISLAND,120,0,GROCERY/BODEGA,false,<18,M,WHITE HISPANIC,<18,M,WHITE HISPANIC,951232,170429,40.634411467000064,-74.118962298999975,POINT (-74.11896229899997 40.634411467000064)
196542452,04/27/2019,23:54:00,BROOKLYN,67,0,MULTI DWELL - APT BUILD,false,,,,25-44,M,WHITE HISPANIC,996876,177505,40.65388611000003,-73.954497843999945,POINT (-73.95449784399995 40.65388611000003)
205748546,11/27/2019,15:54:00,BRONX,40,0,,false,<18,M,BLACK,18-24,M,BLACK,1006789,237559,40.818699730000048,-73.918570617999933,POINT (-73.91857061799993 40.81869973000005)
200056616,07/21/2019,02:00:00,BROOKLYN,75,0,,false,,,,25-44,M,BLACK,1015734,177743,40.654492401000027,-73.886533306999979,POINT (-73.88653330699998 40.65449240100003)
206875589,12/30/2019,03:17:00,BROOKLYN,81,0,,false,,,,18-24,M,BLACK,1006612,189509,40.686815165000041,-73.919369884999981,POINT (-73.91936988499998 40.68681516500004)
199403137,07/06/2019,00:03:00,BROOKLYN,67,0,MULTI DWELL - APT BUILD,false,,,,<18,M,BLACK,997786,177027,40.652572760000055,-73.951219198999979,POINT (-73.95121919899998 40.652572760000055)
196276903,04/19/2019,00:12:00,QUEENS,113,0,,false,25-44,M,BLACK,25-44,M,BLACK,1053637,190566,40.689472652000063,-73.749799678999977,POINT (-73.74979967899998 40.68947265200006)
206821821,12/21/2019,04:30:00,BROOKLYN,78,1,,false,,,,25-44,M,BLACK HISPANIC,991724,186291,40.678007577000074,-73.973055704999979,POINT (-73.97305570499998 40.67800757700007)
191709964,01/01/2019,04:26:00,BROOKLYN,75,2,MULTI DWELL - PUBLIC HOUS,true,,,,25-44,M,BLACK,1021382,181825,40.665674700000068,-73.866155502999959,POINT (-73.86615550299996 40.66567470000007)
203517393,10/09/2019,13:00:00,QUEENS,105,0,,true,,,,18-24,M,ASIAN / PACIFIC ISLANDER,1066815,209653,40.741748484000027,-73.70204752099994,POINT (-73.70204752099994 40.74174848400003)
200365038,07/28/2019,20:14:00,BRONX,46,0,MULTI DWELL - APT BUILD,false,,,,18-24,M,WHITE HISPANIC,1006991,249487,40.851438118000033,-73.917800376999935,POINT (-73.91780037699993 40.85143811800003)
201852654,08/31/2019,07:42:00,BRONX,45,0,GAS STATION,false,18-24,M,BLACK HISPANIC,25-44,M,WHITE HISPANIC,1025184,246300,40.842625153000029,-73.852058343999943,POINT (-73.85205834399994 40.84262515300003)
193418293,02/09/2019,19:00:00,BRONX,49,2,MULTI DWELL - PUBLIC HOUS,false,,,,<18,M,BLACK,1021316,253601,40.862681292000048,-73.865997629999981,POINT (-73.86599762999998 40.86268129200005)
199637606,07/11/2019,21:45:00,BRONX,46,0,,true,18-24,M,UNKNOWN,25-44,M,WHITE HISPANIC,1012078,252019,40.858373133000043,-73.899402083999973,POINT (-73.89940208399997 40.85837313300004)
198107751,06/05/2019,23:38:00,QUEENS,105,0,PVT HOUSE,false,,,,65+,F,BLACK,1053432,185858,40.676551919000076,-73.750587217999964,POINT (-73.75058721799996 40.676551919000076)
198858230,06/23/2019,12:02:00,BROOKLYN,61,0,,false,18-24,M,BLACK,25-44,M,WHITE HISPANIC,995122,155693,40.594019059000061,-73.960854315999939,POINT (-73.96085431599994 40.59401905900006)
195102368,03/22/2019,22:25:00,BRONX,48,2,MULTI DWELL - PUBLIC HOUS,false,,,,25-44,M,BLACK HISPANIC,1013667,246291,40.842646326000079,-73.893682920999936,POINT (-73.89368292099994 40.84264632600008)
200209680,07/24/2019,13:20:00,BRONX,47,0,,false,25-44,M,BLACK,25-44,M,WHITE,1028124,257461,40.873244591000059,-73.841359606999958,POINT (-73.84135960699996 40.87324459100006)
200891279,08/08/2019,22:28:00,BROOKLYN,67,0,,false,,,,25-44,M,BLACK,1000504,176531,40.651206776000038,-73.94142502699998,POINT (-73.94142502699998 40.65120677600004)
203348698,10/05/2019,21:50:00,MANHATTAN,25,0,,true,,,,25-44,M,WHITE HISPANIC,999296,230862,40.800334261000046,-73.945656971999938,POINT (-73.94565697199994 40.800334261000046)
193939359,02/24/2019,23:20:00,BRONX,44,2,MULTI DWELL - PUBLIC HOUS,false,18-24,M,BLACK,25-44,M,BLACK,1008653,241755,40.830211602000077,-73.911820941999963,POINT (-73.91182094199996 40.83021160200008)
201875868,09/02/2019,20:25:00,BRONX,48,0,,false,25-44,M,BLACK,18-24,F,BLACK,1013873,250614,40.854510990000051,-73.89291929999996,POINT (-73.89291929999997 40.85451099000005)
202804360,09/23/2019,19:50:00,BROOKLYN,81,0,,false,,,,25-44,M,BLACK,1006290,186730,40.679188252000074,-73.920540021999955,POINT (-73.92054002199995 40.679188252000074)
196000890,04/14/2019,03:03:00,BRONX,52,0,,false,,,,25-44,M,BLACK HISPANIC,1010032,252384,40.859381159000066,-73.906797049999966,POINT (-73.90679704999997 40.859381159000066)
197381376,05/19/2019,18:37:00,QUEENS,103,0,,false,,,,25-44,M,BLACK,1044315,193135,40.696592115000044,-73.783390714999939,POINT (-73.78339071499994 40.696592115000044)
197662446,05/26/2019,20:08:00,BROOKLYN,75,0,,false,18-24,M,BLACK,25-44,M,BLACK,1015379,182115,40.666493826000078,-73.887792539999964,POINT (-73.88779253999996 40.66649382600008)
203041423,09/27/2019,20:40:00,BROOKLYN,75,2,MULTI DWELL - PUBLIC HOUS,false,,,,25-44,M,BLACK,1013031,182526,40.667629873000067,-73.896254477999946,POINT (-73.89625447799995 40.66762987300007)
191851038,01/03/2019,23:00:00,STATEN ISLAND,121,0,,false,,,,18-24,M,BLACK,939054,166916,40.624715270000024,-74.162814914999956,POINT (-74.16281491499996 40.624715270000024)
205280613,11/17/2019,14:45:00,MANHATTAN,23,2,MULTI DWELL - PUBLIC HOUS,false,,,,<18,M,BLACK HISPANIC,1000102,229680,40.797088584000051,-73.942748579999943,POINT (-73.94274857999994 40.79708858400005)
199247701,07/03/2019,00:04:00,QUEENS,114,2,MULTI DWELL - PUBLIC HOUS,false,<18,M,WHITE,25-44,M,WHITE HISPANIC,999925,214507,40.755443005000075,-73.943423245999952,POINT (-73.94342324599995 40.755443005000075)
194085121,02/27/2019,18:22:00,MANHATTAN,34,2,MULTI DWELL - PUBLIC HOUS,false,,,,25-44,M,WHITE HISPANIC,1005232,253268,40.861820186000045,-73.924146733999976,POINT (-73.92414673399998 40.861820186000045)
196414299,04/24/2019,14:58:00,BROOKLYN,71,0,,false,,,,25-44,M,BLACK,1001270,180581,40.662321699000074,-73.938654283999938,POINT (-73.93865428399994 40.662321699000074)
198350536,06/11/2019,21:41:00,BROOKLYN,75,0,,false,18-24,M,WHITE HISPANIC,18-24,M,BLACK,1020214,183053,40.669050105000053,-73.870359115999975,POINT (-73.87035911599997 40.66905010500005)
205332522,11/19/2019,08:45:00,BROOKLYN,75,0,,true,,,,25-44,M,BLACK HISPANIC,1013590,181763,40.66553377300005,-73.894242770999938,POINT (-73.89424277099994 40.66553377300005)
