Catalog Number,Calendar Date,Eclipse Time,Delta T (s),Lunation Number,Saros Number,Eclipse Type,Gamma,Eclipse Magnitude,Latitude,Longitude,Sun Altitude,Sun Azimuth,Path Width (km),Central Duration
00001,-1999 June 12,03:14:51,46438,-49456,5,T,-0.2701,1.0733,6.0N,33.3W,74,344,247,06m37s
00002,-1999 December 5,23:45:23,46426,-49450,10,A,-0.2317,0.9382,32.9S,10.8E,76,21,236,06m44s
00003,-1998 June 1,18:09:16,46415,-49444,15,T,0.4994,1.0284,46.2N,83.4E,60,151,111,02m15s
00004,-1998 November 25,05:57:03,46403,-49438,20,A,-0.9045,0.9806,67.8S,143.8W,25,74,162,01m14s
00005,-1997 April 22,13:19:56,46393,-49433,-13,P,-1.467,0.1611,60.6S,106.4W,0,281,,
00006,-1997 May 22,02:45:35,46391,-49432,25,P,1.3253,0.4035,61.7N,151.7W,0,55,,
00007,-1997 October 16,08:01:52,46381,-49427,-8,P,1.1669,0.6954,60.6N,22.7W,0,265,,
00008,-1997 November 14,18:48:49,46379,-49426,30,P,-1.5183,0.0377,61.5S,27.7W,0,120,,
00009,-1996 April 10,13:54:52,46369,-49421,-3,A,-0.7231,0.9464,38.2S,167.2W,43,321,277,05m11s
00010,-1996 October 4,23:23:37,46358,-49415,2,T,0.5166,1.0257,28.8N,38.6E,59,214,101,02m04s
00011,-1995 March 30,17:24:52,46346,-49409,7,A,0.0609,0.9873,0.2S,112.7E,87,151,45,01m17s
00012,-1995 September 24,10:31:54,46334,-49403,12,A,-0.1863,0.9766,3.1S,150.0W,79,29,85,02m22s
00013,-1994 March 20,03:59:50,46322,-49397,17,T,0.8091,1.0333,39.4N,73.3W,36,142,186,02m35s
00014,-1994 September 13,14:32:00,46310,-49391,22,A,-0.9265,0.9249,48.2S,116.1E,22,42,733,06m58s
00015,-1993 February 8,11:41:40,46301,-49386,-11,P,-1.0699,0.8826,62.7S,23.1W,0,222,,
00016,-1993 March 9,19:48:09,46299,-49385,27,Pb,1.4907,0.0754,61.2N,11.4E,0,114,,
00017,-1993 August 3,21:35:06,46289,-49380,-6,P,1.3116,0.4292,63.5N,166.7W,0,327,,
00018,-1992 January 29,02:34:14,46277,-49374,-1,T,-0.3875,1.0181,44.1S,13.3W,67,340,67,01m30s
00019,-1992 July 23,04:03:17,46265,-49368,4,H,0.5182,1.0059,54.0N,39.0W,59,197,24,00m29s
00020,-1991 January 17,11:29:42,46253,-49362,9,A,0.346,0.9599,3.5S,160.1W,70,170,155,05m03s
00021,-1991 July 12,17:34:12,46242,-49356,14,T,-0.2421,1.0606,10.0N,106.3E,76,6,205,05m50s
00022,-1990 January 6,13:10:01,46230,-49350,19,P,1.0749,0.8256,65.4N,163.3E,0,167,,
00023,-1990 July 2,10:30:06,46218,-49344,24,T,-0.9623,1.0609,51.2S,149.5W,15,2,756,04m30s
00024,-1990 November 26,19:21:37,46208,-49339,-9,P,-1.2517,0.5316,69.3S,67.4W,0,150,,
00025,-1989 May 23,16:56:38,46196,-49333,-4,H,0.8616,1.0067,72.1N,79.4E,30,139,46,00m27s
00026,-1989 November 16,03:39:33,46185,-49327,1,H,-0.5096,1.0036,44.0S,54.1W,59,19,14,00m18s
00027,-1988 May 11,23:28:58,46173,-49321,6,A,0.0987,0.9652,18.3N,16.8E,84,165,126,04m11s
00028,-1988 November 4,17:46:47,46161,-49315,11,T,0.1768,1.0435,0.6S,106.5E,80,196,148,04m04s
00029,-1987 May 1,00:29:51,46149,-49309,16,A,-0.6733,0.9464,31.9S,17.1E,47,341,264,06m10s
00030,-1987 October 25,09:21:08,46138,-49303,21,T,0.846,1.026,48.3N,107.1W,32,207,165,01m58s
00031,-1986 March 21,15:06:51,46128,-49298,-12,P,1.3284,0.3949,71.2N,79.3E,0,111,,
00032,-1986 April 20,02:55:09,46126,-49297,26,P,-1.4035,0.2645,71.5S,44.6E,0,285,,
00033,-1986 September 15,07:15:14,46116,-49292,-7,P,-1.2711,0.4983,71.0S,155.5W,0,58,,
00034,-1985 March 11,03:26:36,46104,-49286,-2,T,0.5312,1.049,20.3N,44.2W,58,163,191,04m29s
00035,-1985 September 4,09:29:03,46093,-49280,3,A,-0.5977,0.9272,21.9S,138.3W,53,15,338,09m22s
00036,-1984 February 28,19:51:38,46081,-49274,8,T,-0.1975,1.069,25.5S,81.9E,78,345,229,05m53s
00037,-1984 August 23,09:09:06,46069,-49268,13,A,0.1151,0.9402,24.0N,123.1W,83,191,223,07m27s
00038,-1983 February 17,11:43:36,46057,-49262,18,T,-0.9309,1.0259,79.1S,89.1W,21,286,246,01m30s
00039,-1983 August 12,13:43:07,46046,-49256,23,A,0.8332,0.982,75.4N,168.1W,33,209,116,01m15s
00040,-1982 January 8,07:26:45,46036,-49251,-10,P,1.1451,0.7132,65.6N,86.0W,0,191,,
00041,-1982 July 3,17:34:50,46024,-49245,-5,P,-1.0663,0.8933,64.8S,127.1E,0,341,,
00042,-1982 August 2,01:40:26,46022,-49244,33,Pb,1.4996,0.0678,67.5N,157.3E,0,351,,
00043,-1982 December 28,07:38:06,46012,-49239,0,A,0.471,0.9191,4.2N,97.2W,62,189,346,11m38s
00044,-1981 June 23,10:42:06,46000,-49233,5,T,-0.3407,1.0693,3.3N,146.8W,70,348,240,06m28s
00045,-1981 December 17,07:52:15,45989,-49227,10,A,-0.2249,0.942,35.0S,110.7W,77,16,220,06m21s
00046,-1980 June 12,01:14:01,45977,-49221,15,T,0.4248,1.0242,45.0N,19.9W,65,157,91,02m00s
00047,-1980 December 5,14:32:25,45965,-49215,20,A,-0.9018,0.9845,72.0S,82.1E,25,77,127,00m58s
00048,-1979 May 2,19:42:02,45955,-49210,-13,Pe,-1.5543,0.011,60.9S,147.5E,0,290,,
00049,-1979 June 1,09:17:39,45953,-49209,25,P,1.2453,0.5442,62.3N,99.3E,0,47,,
00050,-1979 October 26,16:52:42,45944,-49204,-8,P,1.1691,0.691,60.8N,165.9W,0,256,,
00051,-1979 November 25,03:41:17,45942,-49203,30,P,-1.517,0.0392,62.1S,171.7W,0,130,,
00052,-1978 April 21,20:18:29,45932,-49198,-3,A,-0.8065,0.9476,40.6S,97.8E,36,321,315,05m00s
00053,-1978 October 16,08:02:30,45920,-49192,2,T,0.5237,1.0214,24.8N,94.0W,58,213,84,01m47s
