,UNIXTime,Data,Time,Radiation,Temperature,Pressure,Humidity,WindDirection(Degrees),Speed,TimeSunRise,TimeSunSet,Year,Month,Date
0,1475229326,2016-09-29,23:55:26,1.21,48,0.46000000000000085,59.0,177,5.62,06:13:00,18:13:00,2016,9,9
1,1475229023,2016-09-29,23:50:23,1.21,48,0.46000000000000085,58.0,176,3.37,06:13:00,18:13:00,2016,9,9
2,1475228726,2016-09-29,23:45:26,1.23,48,0.46000000000000085,57.0,158,3.37,06:13:00,18:13:00,2016,9,9
3,1475228421,2016-09-29,23:40:21,1.21,48,0.46000000000000085,60.0,137,3.37,06:13:00,18:13:00,2016,9,9
4,1475228124,2016-09-29,23:35:24,1.17,48,0.46000000000000085,62.0,104,5.62,06:13:00,18:13:00,2016,9,9
5,1475227824,2016-09-29,23:30:24,1.21,48,0.46000000000000085,64.0,120,5.62,06:13:00,18:13:00,2016,9,9
6,1475227519,2016-09-29,23:25:19,1.2,49,0.46000000000000085,72.0,112,6.75,06:13:00,18:13:00,2016,9,9
7,1475227222,2016-09-29,23:20:22,1.24,49,0.46000000000000085,71.0,122,5.62,06:13:00,18:13:00,2016,9,9
8,1475226922,2016-09-29,23:15:22,1.23,49,0.46000000000000085,80.0,101,4.5,06:13:00,18:13:00,2016,9,9
9,1475226622,2016-09-29,23:10:22,1.21,49,0.46000000000000085,85.0,141,4.5,06:13:00,18:13:00,2016,9,9
10,1475226323,2016-09-29,23:05:23,1.23,49,0.46999999999999886,93.0,120,2.25,06:13:00,18:13:00,2016,9,9
11,1475226025,2016-09-29,23:00:25,1.21,49,0.46999999999999886,98.0,144,3.37,06:13:00,18:13:00,2016,9,9
12,1475225720,2016-09-29,22:55:20,1.22,49,0.46999999999999886,99.0,139,6.75,06:13:00,18:13:00,2016,9,9
13,1475225419,2016-09-29,22:50:19,1.21,50,0.46999999999999886,99.0,140,2.25,06:13:00,18:13:00,2016,9,9
14,1475225131,2016-09-29,22:45:31,1.23,50,0.46999999999999886,99.0,147,5.62,06:13:00,18:13:00,2016,9,9
15,1475224823,2016-09-29,22:40:23,1.22,50,0.46999999999999886,99.0,113,4.5,06:13:00,18:13:00,2016,9,9
16,1475224519,2016-09-29,22:35:19,1.21,50,0.46999999999999886,99.0,123,10.12,06:13:00,18:13:00,2016,9,9
17,1475224222,2016-09-29,22:30:22,1.22,50,0.46999999999999886,99.0,173,6.75,06:13:00,18:13:00,2016,9,9
18,1475223919,2016-09-29,22:25:19,1.22,50,0.46999999999999886,98.0,91,6.75,06:13:00,18:13:00,2016,9,9
19,1475223622,2016-09-29,22:20:22,1.2,50,0.46999999999999886,98.0,109,6.75,06:13:00,18:13:00,2016,9,9
20,1475223322,2016-09-29,22:15:22,1.2,50,0.46999999999999886,98.0,143,2.25,06:13:00,18:13:00,2016,9,9
21,1475223021,2016-09-29,22:10:21,1.2,50,0.46999999999999886,97.0,146,5.62,06:13:00,18:13:00,2016,9,9
22,1475222720,2016-09-29,22:05:20,1.21,50,0.46999999999999886,97.0,158,4.5,06:13:00,18:13:00,2016,9,9
23,1475222426,2016-09-29,22:00:26,1.22,50,0.46999999999999886,97.0,166,5.62,06:13:00,18:13:00,2016,9,9
24,1475222120,2016-09-29,21:55:20,1.22,50,0.46999999999999886,96.0,151,5.62,06:13:00,18:13:00,2016,9,9
25,1475221832,2016-09-29,21:50:32,1.22,50,0.46999999999999886,96.0,152,6.75,06:13:00,18:13:00,2016,9,9
26,1475221528,2016-09-29,21:45:28,1.24,50,0.46999999999999886,95.0,127,7.87,06:13:00,18:13:00,2016,9,9
27,1475221220,2016-09-29,21:40:20,1.23,50,0.46999999999999886,95.0,157,6.75,06:13:00,18:13:00,2016,9,9
28,1475220921,2016-09-29,21:35:21,1.23,50,0.46999999999999886,95.0,172,7.87,06:13:00,18:13:00,2016,9,9
