,Video Id,Title,Description,Category
0,S294zRodS_4,Education In Society: Crash Course Sociology #40,"Today we'll explore the history of education as a social institution, with a specific focus on how the US organizes its educational system. We'll look at education ...",Education
1,HndV87XpkWg,What&#39;s Education For?,The greatest problem of the modern education system is that it doesn't focus on systematically preparing students for many aspects of the real challenge out ...,Education
2,iwSOeRcX9NI,Why e-learning is killing education | Aaron Barth | TEDxKitchenerED,"Education at scale doesn't have to suck. If you ditch conventional e-learning's clicky gimmicks, and focus instead on science-backed design principles and ...",Education
3,zDZFcDGpL4U,RSA ANIMATE: Changing Education Paradigms,"This RSA Animate was adapted from a talk given at the RSA by Sir Ken Robinson, world-renowned education and creativity expert and recipient of the RSA's ...",Education
4,T-JVpKku5SI,The problem of education inequality | CNBC Reports,The Covid-19 pandemic has highlighted education inequality affecting both poor and rich nations across the world. CNBC's Tom Chitty goes to find out the best ...,Education
5,mOssYTimQwM,The Power of Gamification in Education | Scott Hebert | TEDxUAlberta,"Scott Hebert is a teacher in Fort Saskatchewan, Canada. In this talk he addresses why the modern education system is experiencing an engagement crisis, and ...",Education
6,ZDAdi6ZLktc,The Importance Of Education - What&#39;s The Real Purpose Of Education?,The importance of education is far beyond any simplistic explanation. What is the first thing that comes to your mind when you think about education?,Education
7,Dvhuesh0D5s,Ryan learns why do we brush our teeth! | Educational Video for Kids,Ryan learns why do we brush our teeth! | Educational Video for Kids Learn with Ryan at home the importance of keeping your teeth clean! #stayhome #learn.,Education
8,y5Ha-FkSJCA,WHY IM BUYING CALL OPTIONS IN THIS STOCK NOW - JULY 2021,Today I want to explain why Im buying call options in this stock. I am very excited about these call options I am buying as I think this stock has major upside ...,Education
9,CHyA3pp4G_Y,Why is education important?,"Education Filmed in Mannya, Uganda Executive Producer : Michael Trainer Directed by : Andrew Ellis : Jonathan Olinger Produced by : Jay Gunning : Trina Finn ...",Education
10,hreYh2Yha4A,Let&#39;s Talk About Education | Jayne Ellspermann | TEDxOcala,Our democracy and economy depend on the strength of our education system. We must ensure that our public schools have the resources needed to make ...,Education
11,GZbx6HJFGu4,Octonauts - Team Ocean Research | Cartoons for Kids | Underwater Sea Education,Join the Octonauts research team in finding out more about the ocean & its habitants in these adventures! Want to join our next mission? Subscribe: ...,Education
12,T82UHZWvXTE,America&#39;s Broken Education System,Writers/Researchers/Helpers: Ali Zagame Background made by @_vampirist (Twitter) Outro song is Cake by Retrovision You made it all the way to the bottom of ...,Education
13,DdNAUJWJN08,Noam Chomsky - The Purpose of Education,"Noam Chomsky discusses the purpose of education, impact of technology, whether education should be perceived as a cost or an investment and the value of ...",Education
14,dqTTojTija8,I SUED THE SCHOOL SYSTEM (2021),THE PEOPLE VS THE SCHOOL SYSTEM TEXT ME: 314-207-4482   URGENT: YouTube won't show you my NEW videos UNLESS you TURN ON MY ...,Education
15,mZTvHofa6Q4,Zoom Education Is Failing An Entire Generation,"As schools slowly return to in person classes, the education system and the students in it will never be the same. A year of Zoom classes and Google Meetings ...",Education
16,wX78iKhInsc,How to escape education&#39;s death valley | Sir Ken Robinson,"Sir Ken Robinson outlines 3 principles crucial for the human mind to flourish -- and how current education culture works against them. In a funny, stirring talk he ...",Education
17,_aB9Tg6SRA0,Inside Singapore’s world-class education system,"Dateline travels to Singapore to find out why its education system tops the global leader board. We look at high-stakes testing, and ask if the culture of ...",Education
18,y_ZmM7zPLyI,Suli Breaks - Why I Hate School But Love Education [Official Spoken Word Video],"As the cyclical and seemingly never ending debate about education rages on, the topic - somewhat ironically, often poses more questions than it provides ...",Education
19,NH03uPXVyQE,Minister Education Saeed Ghani And Nasir Hussain Shah Important Media Talk,Minister Education Saeed Ghani And Nasir Hussain Shah Important Media Talk 24 News HD is one of the leading news channels of Pakistan bringing you the ...,Education
20,sXdfRYyzbmU,Elon Musk Wants to Revolutionize Education,"For more videos of the like, consider subscribing. No copyright infringement is intended. Materials used in this video are edited and used for educational ...",Education
21,KUM4AECEcUA,The Power Of Education (Real Life Story),"The Power Of Education (Real Life Story) Your wickedness and cruelty committed in this respect on your fellow creatures, are greater than all the stripes you ...",Education
22,R_gEwTABPNM,Learn about Parts of your body for kids | Educational Video Ryan&#39;s World,Learn about Parts of your body for kids! Educational Video Ryan's World for Kids! Fun ways to learn body Parts and functions of organs!,Education
23,Io3TiuJsfLc,Elon Musk -  Education does not work,Hello Guys Its David. In this video Elon Musk talks about education. He gives very details explanation why education does not work and with that Elon proposes ...,Education
24,vcVS6irOntc,Matthew McConaughey on The Education System,--------------------------------------------------------------------------------------------------------------------- ▻Footage licensed through: Videoblocks ▻Music https://bit.ly/34ZqEAr ...,Education
25,YVApjEZVP8I,Future of education in a post-pandemic world,"ABC News' Linsey Davis examines what the future of education may look like after the pandemic ends, and speaks with former Education Secretary John King.",Education
