employee_id,number_project,average_montly_hours,time_spend_company,Work_accident,left,promotion_last_5years,department,salary
1003,2,157,3,0,1,0,sales,low
1005,5,262,6,0,1,0,sales,medium
1486,7,272,4,0,1,0,sales,medium
1038,5,223,5,0,1,0,sales,low
1057,2,159,3,0,1,0,sales,low
1060,2,153,3,0,1,0,sales,low
1061,6,247,4,0,1,0,sales,low
1576,5,259,5,0,1,0,sales,low
1752,5,224,5,0,1,0,sales,low
1988,2,142,3,0,1,0,sales,low
1071,2,135,3,0,1,0,sales,low
1088,6,305,4,0,1,0,sales,low
2040,4,234,5,0,1,0,sales,low
1097,2,148,3,0,1,0,sales,low
1100,2,137,3,0,1,0,sales,low
1113,2,143,3,0,1,0,sales,low
58014,2,160,3,0,1,0,sales,low
3322,4,255,6,0,1,0,sales,low
3794,2,160,3,1,1,1,sales,low
1140,5,262,5,0,1,0,sales,low
1148,6,282,4,0,1,0,sales,low
1149,2,147,3,0,1,0,sales,low
1158,6,304,4,0,1,0,sales,low
1166,2,139,3,0,1,0,sales,low
1175,2,158,3,0,1,0,sales,low
1184,5,242,5,0,1,0,sales,low
1186,4,239,5,0,1,0,sales,low
1201,2,135,3,0,1,0,sales,low
1203,2,128,3,0,1,0,accounting,low
1204,2,132,3,0,1,0,accounting,low
1214,6,294,4,0,1,0,accounting,low
1223,2,134,3,0,1,0,hr,low
1228,2,145,3,0,1,0,hr,low
1230,2,140,3,0,1,0,hr,low
1236,4,246,6,0,1,0,hr,low
4266,6,255,4,0,1,0,technical,low
1240,2,137,3,0,1,0,technical,low
1248,2,126,3,0,1,0,technical,low
1256,6,306,4,0,1,0,technical,low
4414,2,152,3,0,1,0,technical,low
1284,5,269,5,0,1,0,technical,low
5983,2,158,3,0,1,0,technical,low
1293,2,127,3,0,1,0,technical,low
7010,7,281,4,0,1,0,technical,low
52647,6,276,4,0,1,0,technical,low
10497,3,182,4,0,1,0,technical,low
1310,2,147,3,0,1,0,support,low
1311,3,273,6,0,1,0,support,low
1316,2,148,3,0,1,0,support,low
1319,2,147,3,0,1,0,support,low
10865,6,152,2,0,1,0,support,low
1332,2,135,3,0,1,0,support,low
1334,2,134,3,0,1,0,support,low
1340,2,132,3,0,1,0,support,low
1341,7,307,4,0,1,0,support,low
1347,2,140,3,0,1,0,support,low
14030,7,255,4,0,1,0,support,low
1361,6,309,4,0,1,0,technical,low
1371,2,128,3,0,1,0,technical,low
1374,4,225,5,0,1,0,technical,low
1393,5,226,5,0,1,0,management,medium
1399,7,308,4,0,1,0,IT,medium
1404,6,244,5,0,1,0,IT,medium
1413,2,132,3,0,1,0,IT,medium
42423,6,286,4,0,1,0,IT,medium
1424,6,161,4,0,1,0,IT,medium
